id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key
663,정부/국회,정부_국회,공정거래위원회,"쿠팡 거부에…공정위, 현장조사 '빈손' 철수",쿠팡 거부에 공정위 현장조사 빈손 철수,네이트,네이트,"Tue, 25 Aug 2026 15:18:00 GMT","쿠팡 거부에…공정위, 현장조사 '빈손' 철수 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9Yd2EwY0VlcTl0LUNCMm1Fc2RjQjlrbWg1VTQybEI3VHJrMTYzY21aV3hteHdiQlE3WTdVVzltclhNX2xmRFhRWHhocEpxRVlEQUJj?oc=5,google_rss_공정거래위원회 when:2d,200.6,48.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,,,,,,general,24.0,published_today,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,200.6,policy_legislation,,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
598,정부/국회,정부_국회,공정거래위원회,"쿠팡 거부에 공정위 현장조사 무산…""출범 후 처음""(종합)",쿠팡 거부에 공정위 현장조사 무산 출범 후 처음,뉴시스,뉴시스,"Tue, 25 Aug 2026 09:01:47 GMT","쿠팡 거부에 공정위 현장조사 무산…""출범 후 처음""(종합) 뉴시스",https://news.google.com/rss/articles/CBMieEFVX3lxTE9fMnJtNER1ZmRSWlkyU29JSFJScGJIRld4SEJ1NElzT0t1YVBVMzY0U1ZQNml3c3ozWHk2MWVfalNqYUYzWDUwZS01NU1HQnFvaTdFQ3daY2NlNlZTRGNUVW1ia3pBQ2pibHhQT3I2dVg0YzdnS1FhNtIBeEFVX3lxTE9fMnJtNER1ZmRSWlkyU29JSFJScGJIRld4SEJ1NElzT0t1YVBVMzY0U1ZQNml3c3ozWHk2MWVfalNqYUYzWDUwZS01NU1HQnFvaTdFQ3daY2NlNlZTRGNUVW1ia3pBQ2pibHhQT3I2dVg0YzdnS1FhNg?oc=5,google_rss_공정거래위원회 when:2d,200.6,48.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,,,,,,general,19.0,published_yesterday+exclusive_breaking,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,action_started,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,200.6,policy_legislation,,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,4,5,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_APPOINTMENT_GOVERNANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
660,정부/국회,정부_국회,공정거래위원회,"쿠팡, 공정위에 현장조사 취소소송 ""조사 대상자 권익 보장해야""(종합)",쿠팡 공정위에 현장조사 취소소송 조사 대상자 권익 보장해야,v.daum.net,v.daum.net,"Tue, 25 Aug 2026 09:28:00 GMT","쿠팡, 공정위에 현장조사 취소소송 ""조사 대상자 권익 보장해야""(종합) v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTFB1VUVnWFRYT1A0dDFzdWdLUWtoaTRtMzJZbjBrY1ZtSXFrbEUtNXRNemtLOHJONTJDeGhGaUdod1NCSWxEcGc?oc=5,google_rss_공정거래위원회 when:2d,199.6,70.5,"antitrust_platform,platform_obligation",antitrust_general,"공정위,쿠팡",,,,,,,general,19.0,published_yesterday+exclusive_breaking,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,199.6,"policy_legislation,platform_obligation",government:general,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부_국회,SELF_AFFILIATE_BUSINESS,self_filler_reference,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,2,2,1,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류,local_low_confidence,OFF_TOPIC,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,self_filler_reference,
785,정부/국회,정부_국회,공정거래위원회,"쿠팡, 공정위에 현장조사 취소소송 ""조사 대상자 권익 보장해야""(종합)",쿠팡 공정위에 현장조사 취소소송 조사 대상자 권익 보장해야,네이트,네이트,"Tue, 25 Aug 2026 09:28:00 GMT","쿠팡, 공정위에 현장조사 취소소송 ""조사 대상자 권익 보장해야""(종합) 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBTcEg4ekZnS0pQUTQySFZ3ZjVQWG5yQjdlRjgzNDROdHpCQW1OZjN3V0NHZUkwVVFfaVQ3SHIzdGY0R2pjSW9PZlg2NnpsTTN0cHZn?oc=5,google_rss_공정거래위원회 조사 when:2d,199.6,70.5,"antitrust_platform,platform_obligation",antitrust_general,"공정위,쿠팡",,,,,,,general,19.0,published_yesterday+exclusive_breaking,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,199.6,"policy_legislation,platform_obligation",government:general,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
794,정부/국회,정부_국회,공정거래위원회,"“7일 전 통지했어야”…쿠팡, 공정위 현장조사 거부하고 소송",7일 전 통지했어야 쿠팡 공정위 현장조사 거부하고 소송,매일경제,매일경제,"Tue, 25 Aug 2026 13:48:22 GMT","“7일 전 통지했어야”…쿠팡, 공정위 현장조사 거부하고 소송 매일경제",https://news.google.com/rss/articles/CBMiVEFVX3lxTFB2SldxTVRkNGhZSHpFVXRuRU5YZC1pRE9GRDgzUDg1LTJEOXVkNGxlMG1sVUVpVHlmdURvWkJadU4yOFN0VHY2MzBtTkcySUtlLXI2cw?oc=5,google_rss_공정거래위원회 개인정보 when:2d,199.6,63.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,,,,,,general,14.0,published_yesterday,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,199.6,policy_legislation,,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
648,정부/국회,정부_국회,공정거래위원회,"“적법한 절차 어겨”…쿠팡, 공정위 현장조사에 법적 대응",적법한 절차 어겨 쿠팡 공정위 현장조사에 법적 대응,서울경제,서울경제,"Tue, 25 Aug 2026 09:20:07 GMT","“적법한 절차 어겨”…쿠팡, 공정위 현장조사에 법적 대응 서울경제",https://news.google.com/rss/articles/CBMiUkFVX3lxTE16emZITTZ0RlRYUjY4NFBOVFJrQm9Xel96S3MtZUsyU2xOeWF0c1BuZXhUUGFXRWE2Y3MyMDhwWURXZ3pYQjhLVFQ1YmtkR2ZCZ2c?oc=5,google_rss_공정거래위원회 when:2d,199.6,48.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,,,,,,general,14.0,published_yesterday,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,litigation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,199.6,policy_legislation,,global_incident:platform_regulation:coupang:coupang_designation_disclosure:litigation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
647,정부/국회,정부_국회,공정거래위원회,격화하는 쿠팡 vs 공정위 신경전…초유의 공정위 현장조사 불발,격화하는 쿠팡 vs 공정위 신경전 초유의 공정위 현장조사 불발,한국경제,한국경제,"Tue, 25 Aug 2026 08:43:33 GMT",격화하는 쿠팡 vs 공정위 신경전…초유의 공정위 현장조사 불발 한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE0tOThpS2JLMWZLWW1DMXMzaVFTYnZaREhsVWJaYzVTME9hY3QzNTcwSGViUzNRUmEtYUxWOGtYWDM3eUFiSXZOTGhEblJrcER2Mk1OQ0Z6WVZXZw?oc=5,google_rss_공정거래위원회 when:2d,199.6,48.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,,,,,,general,14.0,published_yesterday,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,199.6,policy_legislation,,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
2464,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"앨라배마, 오픈AI 허깅페이스 해킹 조사",앨라배마 오픈ai 허깅페이스 해킹 조사,tokenpost.kr,tokenpost.kr,"Mon, 24 Aug 2026 18:55:43 GMT","앨라배마, 오픈AI 허깅페이스 해킹 조사 tokenpost.kr",https://news.google.com/rss/articles/CBMiXkFVX3lxTE5XRkJQR29XeE5HSUJ1X3pSUHdlTHIwd2YzbWhicy1PY19BYUxvSjF5bWdCNnV2VV9OYnNjVlhubU9uSUwxTU0yQmxwdXFwbVhTRmNqd0lmYW9iZWU4UWfSAV5BVV95cUxOV0ZCUEdvV3hOR0lCdV96UlB3ZUxyMHdmM21oYnMtT2NfQWFMb0oxeW1nQjZ1dlVfTmJzY1ZYbm1PbklMMU1NMkJscHVxcG1YU0ZjandJZmFvYmVlOFFn?oc=5,google_rss_오픈AI 조사 when:2d,199.5,48.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_hacking_incident,오픈AI,,,,,,,general,14.0,published_yesterday,official_action,privacy_security:openai:data_leak,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,global_platform_or_overseas_rule,Y,global,199.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:openai:openai_security_access:general,global_incident:ai_security_policy:openai:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:openai:openai_security_access,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:openai:openai_security_access,comp_overseas_platform_ai,
2062,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"화이트해커에 문 연 LGU+…버그바운티, 기업 보안의 새 시험대",화이트해커에 문 연 lgu+ 버그바운티 기업 보안의 새 시험대,네이트,네이트,"Mon, 24 Aug 2026 21:01:00 GMT","화이트해커에 문 연 LGU+…버그바운티, 기업 보안의 새 시험대 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1WUmhUc09NVmIzWVRmRGdJbFBScE9TbS1aNE91cFc0REhqbkZyTUlod0RCdGhyZ3pNNjNsWUVfck5BMnA2TUcyS0xEQ1JwZVM1OThz?oc=5,google_rss_LGU+ when:2d,199.5,18.0,"phishing_security,privacy_security_reliability",security_general,LGU+,,,,,,,general,14.0,published_yesterday,direct_risk,event:LGU+:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,199.5,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:화이트해커에 문 연 lgu+ 버그바운티 기업 보안의 새 시험대,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:화이트해커에 문 연 lgu+ 버그바운티 기업 보안의 새 시험대,comp_domestic_strategy,
1870,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, 최대 15% 적립 ‘네이버 현대카드 에디션3’ 출시",네이버 최대 15 적립 네이버 현대카드 에디션3 출시,edaily.co.kr,이데일리,"Wed, 26 Aug 2026 00:52:35 GMT","네이버, 최대 15% 적립 ‘네이버 현대카드 에디션3’ 출시 edaily.co.kr",https://news.google.com/rss/articles/CBMigAFBVV95cUxPYU1IaHR1cURuSk9zUUdXT3loSC1KTUJBdVBYRFYyZnU3T2t2WVY3QnJJbW9LQlk3dzdoSXFldTlxVUxrZ3JRMTNwd1czY1VJUkU3RjFPYU5LLWhHYmZRTHFpNHdOOGRqdHJRU254cl8tOUNVTVpXbmY4RVBKNHFjeQ?oc=5,google_rss_네이버 site:edaily.co.kr when:2d,199.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,general,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,199.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 최대 15 적립 네이버 현대카드 에디션3 출시,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 최대 15 적립 네이버 현대카드 에디션3 출시,comp_domestic_ai_platform,
1871,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버 D2SF, 방산·제조 인프라 스타트업 ‘포지’에 투자",네이버 d2sf 방산 제조 인프라 스타트업 포지에 투자,edaily.co.kr,이데일리,"Wed, 26 Aug 2026 00:49:37 GMT","네이버 D2SF, 방산·제조 인프라 스타트업 ‘포지’에 투자 edaily.co.kr",https://news.google.com/rss/articles/CBMigAFBVV95cUxQM1BiRTlqcWFpblNRMzhVX3R2QjZnSFVaVE1PbllRSVRZbHNEYWtYbW50MFJPQWdQck0wcnU4a3IzdWs1ZmZYX2NpXy0tNDY2a2ZpdmZJS1RfdG8xNFJIUUpEX2xjcGpTclNKQS1ZZklydE02eHk5aldETkNROWswQQ?oc=5,google_rss_네이버 site:edaily.co.kr when:2d,199.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,general,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,199.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 d2sf 방산 제조 인프라 스타트업 포지에 투자,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 d2sf 방산 제조 인프라 스타트업 포지에 투자,comp_domestic_ai_platform,
2441,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,[인공지능 줌인] 추격하는 오픈AI와 고전하는 앤트로픽…시장 판도 흔드는 AI 가성비 경쟁,인공지능 줌인 추격하는 오픈ai와 고전하는 앤트로픽 시장 판도 흔드는 ai 가성비 경쟁,위키리크스한국,위키리크스한국,"Mon, 24 Aug 2026 21:00:00 GMT",[인공지능 줌인] 추격하는 오픈AI와 고전하는 앤트로픽…시장 판도 흔드는 AI 가성비 경쟁 위키리크스한국,https://news.google.com/rss/articles/CBMicEFVX3lxTE91czAwb1VraXo5RF92Uy1XdDFtMno3V3BWWkVyWEk4a2UxaWx3RTdpNU00VDU3OFdiS2cwbWNUbGIxOGhHcjhLVWpBVHF5UDRaVFg3aU9MSFpsdmVRTjJHdnhNTDdfYnAwZExRV3AtOFg?oc=5,google_rss_오픈AI when:2d,199.0,13.5,ai_infrastructure_security,ai_infrastructure_security,"앤트로픽,오픈AI",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:openai:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,199.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:openai:anthropic_glasswing_security:general,global_incident:ai_security_policy:openai:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:openai:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:openai:anthropic_glasswing_security,comp_overseas_platform_ai,
772,정부/국회,정부_국회,공정거래위원회,"쿠팡, 공정위 현장조사 첫 취소소송…""사전통지 절차 위반""",쿠팡 공정위 현장조사 첫 취소소송 사전통지 절차 위반,네이트,네이트,"Tue, 25 Aug 2026 09:37:00 GMT","쿠팡, 공정위 현장조사 첫 취소소송…""사전통지 절차 위반"" 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5kX0I5NzcwbDE0alRjazVERFVDZHRxVUFoR3ZENm94V3NoY284bmZ3WjVGTTZaWExhRmlUVE44LVRGX05CUWt2Ui1YQ2dfNDNPam9j?oc=5,google_rss_공정거래위원회 조사 when:2d,198.6,125.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,Y,,,,government:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,global_incident:platform_regulation:coupang:platform_operator_obligation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,198.6,policy_legislation,government:platform_obligation,global_incident:platform_regulation:coupang:platform_operator_obligation:investigation_or_consultation,global_incident:platform_regulation:coupang:platform_operator_obligation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:platform_operator_obligation,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:platform_operator_obligation,comp_domestic_direct_risk,
673,정부/국회,정부_국회,공정거래위원회,"'사상 최초' 공정위 현장조사 거부한 쿠팡, 소송전까지",사상 최초 공정위 현장조사 거부한 쿠팡 소송전까지,MTN 머니투데이방송,MTN 머니투데이방송,"Tue, 25 Aug 2026 10:31:53 GMT","'사상 최초' 공정위 현장조사 거부한 쿠팡, 소송전까지 MTN 머니투데이방송",https://news.google.com/rss/articles/CBMiZEFVX3lxTE56TFFaSWZHREUtTUhlbGFENUxmUWY0OWhtNkNXREpfdXNjNGEtcUR0UWY5cFJaVDhURzQ5dnFNcFoxeEZhTUxISmhHX1JMZ2tpZDItTlMwZ1ZoLTN5X2t1UHVEQ1k?oc=5,"google_rss_""공정거래위원회"" when:2d",198.6,63.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,,,,,,general,14.0,published_yesterday,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,198.6,policy_legislation,,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
623,정부/국회,정부_국회,공정거래위원회,"쿠팡, 공정위 현장조사 제동 걸었다…“사전통지 없는 조사 부적법”",쿠팡 공정위 현장조사 제동 걸었다 사전통지 없는 조사 부적법,디지털데일리,디지털데일리,"Tue, 25 Aug 2026 10:21:02 GMT","쿠팡, 공정위 현장조사 제동 걸었다…“사전통지 없는 조사 부적법” 디지털데일리",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5XUzlQdGxRNHY0aWdLaUZ2cVdzR2NIMXpCWEFfZUJ6Z3NxU190V2lmTFp2Uk1HUFo0eVJPNVRGWTA4VVVEMmxvMkV5UFBDN1ZzenFaZmhNMDV5REszOTJzeUN2cGk?oc=5,google_rss_공정거래위원회 when:2d,198.6,48.5,antitrust_platform,antitrust_general,"공정위,쿠팡",,,,,,,general,14.0,published_yesterday,official_action,global_incident:platform_regulation:coupang:coupang_designation_disclosure,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,198.6,policy_legislation,,global_incident:platform_regulation:coupang:coupang_designation_disclosure:investigation_or_consultation,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,4,2,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_GENERAL_LOW_RELEVANCE,COMP_DOMESTIC_DIRECT_RISK,domestic,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_direct_risk,
