issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude
I011,global_incident:platform_regulation:digital_asset_sector:platform_content_moderation_obligation,government_regulatory_enforcement,GOV_PLATFORM_REGULATION,정부_국회,,GOV_REGULATORY_ENFORCEMENT,,other,309.5,4,5,4,1,2835,2835,경찰청 – 가상자산사업자 업무협약 체결 ‘피싱범죄 코인 세탁 사전 차단’ 전방위 협력,행정신문,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,로컬 보조 라벨,False,False
I012,종합_금융_플랫폼_경쟁,금융_플랫폼,GOV_PLATFORM_REGULATION,산업동향,,GOV_APPOINTMENT_GOVERNANCE,,other,309.5,4,5,4,1,2800,2800,"코인원, 4자 연합 출범... 거래소 넘어 종합금융 플랫폼 선언",디지털투데이,코인원의 종합 금융 플랫폼 선언은 국내 핀테크 시장의 경쟁 심화를 보여줌.,"코인원의 사업 전략 변화 자체는 카카오와 직접적인 영향 경로가 약하지만, 금융 플랫폼 시장의 경쟁 동향이라는 측면에서 산업 동향으로 분류.",False,False
I013,보원케미칼_사업_확대,기업_성장_전략,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_STRATEGY,domestic,303.5,4,4,5,1,1804,1804,"[기업탐방] 보원케미칼, “매출 1천억원 돌파를 충분히 달성 가능한 목표로 보고 있으며 이를 위해 지속적인 설비 투자와 신규 사업 확대를 추진”",네이버 프리미엄콘텐츠,보원케미칼의 설비 투자 및 신규 사업 확대 계획은 해당 기업의 성장 전략을 보여줌.,"카카오와 무관한 일반 기업의 사업 전략으로, 카카오 대외협력팀이 알아야 할 영향 경로가 없어 OFF_TOPIC에 가깝지만, 형식상 COMP_DOMESTIC_STRATEGY로 분류 후 제외.",False,False
I014,쇼핑엔티_XR_실감형_콘텐츠,콘텐츠_전략,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_STRATEGY,domestic,303.5,4,4,5,1,2144,2144,"쇼핑엔티, XR 실감형 콘텐츠 첫선…내몽골 여행 방송 적용",이데일리,쇼핑엔티의 XR 실감형 콘텐츠 도입은 홈쇼핑 채널의 콘텐츠 강화 전략을 보여줌.,"카카오와 무관한 일반 기업의 콘텐츠 전략으로, 카카오 대외협력팀이 알아야 할 영향 경로가 없어 OFF_TOPIC에 가깝지만, 형식상 COMP_DOMESTIC_STRATEGY로 분류 후 제외.",False,False
I015,네이버_AI_검색_기능_확대,AI_검색_및_창작자_지원,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,271.5,4,4,1,1,1793,1793,"네이버 창작자 지원, AI 검색 활용 영역까지 확대",smartbizn.com,네이버가 AI 검색 기능을 창작자 지원 영역까지 확대하며 콘텐츠 생태계 내에서의 경쟁 심화.,국내 경쟁사 네이버의 AI 플랫폼 전략 변화로 카카오의 AI 사업 전략 수립에 직접적인 영향을 줄 수 있는 이슈.,False,False
I016,플랫폼 불법촬영 이미지 차단 의무 확대,유통방지_조치,SELF_INCLUDED_REGULATION,정부_국회,RESPONSE_RELEVANT,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,other,264.0,4,1,2,4,213,"213,1840,2260,474","""불법촬영 이미지도 7월부터 '차단 의무'""…방미통위 설명회 | ""불법촬영 이미지도 7월부터 '차단 의무'""…방미통위 설명회 | 네이버·카카오·구글, 7월부터 ‘불법촬영 이미지’ 사전 확인하고 차단해야 | 방송미디어통신위원회, ‘불법촬영 이미지’도 유통방지 조치 취해야",연합뉴스 | 파이낸셜뉴스 | 이뉴스투데이 | 케이에스피뉴스,"카카오게임즈 등 게임 플랫폼 사업자도 7월부터 불법촬영 이미지 유통 방지 조치 대상이 됨. / 불법 촬영 이미지에 대한 차단 의무화는 네이버와 같은 검색 포털뿐만 아니라 카카오톡 등 메신저 및 다양한 플랫폼 사업자에게도 적용될 수 있는 규제 방향을 제시한다. / 네이버, 카카오, 구글 등 주요 플랫폼 사업자들은 7월부터 불법촬영 이미지 사전 확인 및 차단 의무가 부과됨. / 카카오톡 등 플랫폼 사업자는 불법촬영 이미지 유통 방지 조치 대상이 되며, 관련 정책 변화에 따라 대응해야 함.","카카오게임즈 플랫폼에 불법촬영물 유통 방지 의무가 부과될 수 있는 사안으로, GOV_PLATFORM_OBLIGATION으로 분류. / 불법 촬영물 차단 의무화는 네이버뿐만 아니라 카카오톡 등 모든 플랫폼 사업자에게 적용될 수 있는 규제로, 카카오의 콘텐츠 정책 및 관련 시스템 점검이 필요하다. / 카카오를 포함한 주요 플랫폼 사업자들에게 직접적인 법적 의무를 부과하는 사안으로, GOV_PLATFORM_OBLIGATION으로 분류. / 카카오톡 등 플랫폼 사업자에게 직접적인 의무를 부과할 수 있는 정책 관련 이슈로 GOV_PLATFORM_OBLIGATION으로 분류.",False,False
I017,쿠팡페이 제재 절차 돌입,전자금융 규제 및 제재,SELF_DIRECT_RISK,자사_및_계열사_이슈,DIRECT_RISK,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,261.5,2,2,3,1,205,205,"[단독]금감원, '쿠팡페이' 제재 절차 돌입…'원아이디' 적정성 쟁점",아이뉴스24,금감원의 쿠팡페이 제재 절차 돌입 소식은 카카오페이 등 유사한 전자금융 서비스를 제공하는 카카오 계열사의 컴플라이언스 및 운영 리스크 관리에 중요한 참고 사례가 됨. '원아이디' 적정성 쟁점은 향후 카카오의 인증 관련 서비스에도 시사하는 바가 있음.,경쟁사의 전자금융 서비스에 대한 금융 당국의 제재는 카카오의 유사 서비스 운영에 직접적인 영향을 줄 수 있어 관련성이 높음.,False,False
I018,global_incident:platform_regulation:financial_authority:platform_transaction_user_protection_obligation,government_general_low_relevance,GOV_PLATFORM_REGULATION,정부_국회,,GOV_GENERAL_LOW_RELEVANCE,,other,255.5,5,4,5,3,1016,"1016,965,991","금감원·8대 금융지주, 금융소비자보호 강화 맞손… 전문인력 양성 본격화 | 금감원, 8대 금융지주 맞손…소비자보호역량 강화 협력 구축 | 금감원장·8대 금융지주 회장 한자리…소비자보호 강화 추진",ikoreadaily.co.kr | 스페셜경제 | 화이트페이퍼,카카오 AI agent/AI 서비스 전략과 연결되는 핵심 정책환경 / 정부/국회 기사이나 카카오 플랫폼·AI·디지털금융과 연결 경로가 약함,로컬 보조 라벨,False,False
I019,"네이버페이, 카카오페이, 토스 핀테크 동향",핀테크 경쟁,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,FILLER_REFERENCE,,COMP_DOMESTIC_FINANCE_COMMERCE,mixed,255.25,4,4,1,1,42,42,"[핀테크업계 소식] 네이버페이, 카카오페이, 토스",파이낸셜포스트,"네이버페이, 카카오페이, 토스의 핀테크 관련 소식을 종합적으로 다루는 기사임.","다수의 핀테크 업체 소식을 다루는 종합 기사로, 특정 이슈에 대한 깊이 있는 정보는 부족함.",False,False
I020,"카카오페이, 토스, 네이버페이 핀테크 동향",핀테크 경쟁,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,254.75,4,3,1,2,47,"47,82",[금융단신] 카카오페이·토스·네이버페이 | [금융단신] 카카오페이·토스·네이버페이,데일리한국 | 네이트,"카카오페이, 토스, 네이버페이의 핀테크 관련 단신 정보임.","다수의 핀테크 업체 소식을 다루는 단신 기사로, 특정 이슈에 대한 깊이 있는 정보는 부족함.",False,False
I021,global_incident:platform_regulation:meta:platform_regulation,comp_overseas_regulation_data,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_OVERSEAS_REGULATION_DATA,overseas,252.5,4,3,4,1,2401,2401,메타 AI 앱서 미공개 얼굴인식 기능 코드 발견… 개인정보 논란 재점화,앱스토리,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I022,comp_overseas_regulation_data:ms 액티비전 블리자드 인수 소송전 3천400억으로 종결,comp_overseas_regulation_data,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_OVERSEAS_REGULATION_DATA,overseas,252.5,4,3,4,1,2363,2363,"MS, 액티비전 블리자드 인수 소송전 3천400억으로 종결",인벤,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I023,애플_아케이드_신규_게임_추가,게임_플랫폼_전략,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,252.0,4,3,4,2,2511,"2511,2512","애플 아케이드, 신규 게임 4종 추가…광고 없는 게임 서비스 강화 | 애플 아케이드, 신규 게임 4종 추가…광고 없는 게임 서비스 강화",네이트 | 디지털투데이,애플 아케이드의 신규 게임 추가는 플랫폼 내 콘텐츠 경쟁 동향을 보여줌.,"애플 아케이드 신규 게임 추가 소식은 카카오 게임즈의 직접적인 리스크나 전략적 시사점과는 거리가 있어 LOW_VALUE_PR에 가깝지만, AI 언급이 있어 COMP_OVERSEAS_PLATFORM_AI로 분류. 다만 영향 경로는 약함.",False,False
I024,global_incident:platform_regulation:google:platform_algorithm_ad_obligation,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,250.5,4,3,4,1,2269,2269,"구글, AI 오버뷰 노출 차단 기능 시험…일반 검색 노출은 유지",디지털투데이,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I025,global_incident:ai_security_policy:openai:openai_security_access,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,250.5,4,3,4,1,2293,2293,"외신 ""오픈AI 트럼프 정부에 지분 제공 논의"", AI 수익 '국민배당금' 지급 검토",비즈니스포스트,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I026,웹툰 콘텐츠 경쟁,콘텐츠 경쟁,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,FILLER_REFERENCE,,COMP_DOMESTIC_STRATEGY,domestic,239.25,4,4,1,1,60,60,"'여름 콘텐츠 수요 잡아라' 네이버웹툰·카카오페이지, '호러·판타지' 웹툰 출격",테크M,카카오페이지가 네이버웹툰과 여름 시즌 콘텐츠 경쟁에 나서는 소식임.,"콘텐츠 론칭 경쟁 소식으로, 직접적인 리스크나 중요한 정책 이슈는 아님.",False,False
I027,global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy,government_digital_finance_policy,GOV_FINANCIAL_DIGITAL_POLICY,정부_국회,,GOV_DIGITAL_FINANCE_POLICY,,other,237.5,3,4,3,1,1543,1543,"JP모건, 미국 암호화폐 시장 구조 개편 법안 통과 시점 임박 우려 (BTC, Clarity Act, 스테이블코인, 중간선거)",민심뉴스,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,로컬 보조 라벨,False,False
I028,government_digital_finance_policy:20 지분 규제 대비했나 코인원 한투 okx 끌어들여 지배구조 재편,government_digital_finance_policy,GOV_FINANCIAL_DIGITAL_POLICY,정부_국회,,GOV_DIGITAL_FINANCE_POLICY,,other,237.5,3,4,3,1,2890,2890,"'20% 지분 규제' 대비했나…코인원, 한투·OKX 끌어들여 지배구조 재편",더팩트,카카오페이·카카오뱅크 등 금융 계열사에 참고 가능한 디지털금융 정책,로컬 보조 라벨,False,False
I029,애플_앱스토어_AI_탑재_앱_현황,AI_앱_및_결제,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,STRATEGIC_REFERENCE,,COMP_OVERSEAS_PLATFORM_AI,overseas,237.0,4,3,1,12,2485,"2485,2476,2567,2514,2510,2572,2482,2562,2474,2499","애플 ""매출상위 앱 100개 중 40개가 AI 탑재…거래액성장률 4배"" | 애플 ″매출상위 앱 100개 중 40개가 AI 탑재″…한국 결제액 1·2위 분야는? | 애플 ""매출상위 앱 100개 중 40개가 AI 탑재…거래액성장률 4배"" | 애플 ＂매출상위 앱 100개 중 40개가 AI 탑재…거래액성장률 4배＂ | [TODAY애플]앱스토어 매출 둔화 우려 딛고 'AI 신기능' 기대감에 상승 전환",v.daum.net | 연합뉴스TV | 연합뉴스 | 한국경제TV | 이데일리,애플 앱스토어 매출 상위 앱 중 AI 탑재 비율이 높다는 점은 AI 기술의 앱 서비스 적용 확대 추세를 보여줌.,애플 앱스토어의 AI 탑재 앱 현황 및 수익화 모델은 카카오의 AI 서비스 경쟁력 강화에 중요한 시사점을 제공. 'STRATEGIC_REFERENCE'로 분류하여 참고 가치를 높임. / 애플 앱스토어의 AI 탑재 앱 현황 및 수익화 모델은 카카오의 AI 서비스 경쟁력 강화에 중요한 시사점을 제공.,False,False
I030,카톡 선물하기 내 스타벅스 교환권/소비 변화,카카오톡 선물하기,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,COMP_DOMESTIC_STRATEGY,domestic,231.5,2,3,3,5,189,"189,128,165,169,187","‘탱크데이’ 논란 이후 반등... 스타벅스, 카톡 선물하기 1위 탈환 | 스타벅스 결제액 130억원 줄어…카톡 선물 1위는 탈환 | 스타벅스 결제액 130억원 줄어…카톡 선물 1위는 탈환 | '탱크데이' 논란 스타벅스 매출액 급감...카카오톡 교환권 순위도 하락 | '탱크데이' 논란에 싸늘하던 여론 다시 따뜻?…카톡 선물 1위 되찾은 스타벅스",truthdaily.co.kr | 연합뉴스 | 연합뉴스TV | abcn.kr | 연합뉴스,"스타벅스가 카카오톡 선물하기에서 1위를 탈환한 것은 선물하기 시장에서의 브랜드 경쟁력을 보여주며, 카카오의 선물하기 서비스 전략 및 프로모션 강화 필요성을 시사한다. / 스타벅스의 카카오톡 선물하기 결제액 감소에도 불구하고, 선물하기 1위를 탈환했다는 소식임. / 스타벅스 이슈로 인한 카카오톡 교환권 이용률 및 순위 하락 발생","카카오톡 선물하기 서비스 내 주요 브랜드의 경쟁 동향을 보여주며, 카카오의 선물하기 서비스 전략 및 프로모션 강화 필요성에 대한 시사점을 제공한다. / 카카오톡 선물하기 서비스의 중요한 비즈니스 지표 변화와 관련된 소식임. / 낮은 강도의 운영/서비스 소식으로 FILLER_REFERENCE 처리. 직접적인 리스크나 전략적 시사점은 부족함.",False,False
I031,AI 에이전트와 IT 인프라,AI_에이전트_전략,SELF_AFFILIATE_BUSINESS,산업동향,STRATEGIC_REFERENCE,GOV_AI_CORE_POLICY,COMP_OVERSEAS_PLATFORM_AI,mixed,223.5,2,2,2,1,2777,2777,[AI는 지금] 모델보다 플랫폼…기업 AI 에이전트 전략 바뀐다,v.daum.net,"AI 에이전트가 IT 인프라 보안 및 운영에 적용되는 추세는 카카오의 AI 에이전트 개발 및 도입 전략에 중요한 시사점을 제공하며, 관련 시장의 기술 동향 및 사업 기회를 파악하는 데 도움이 된다.","AI 에이전트가 IT 인프라 보안 및 운영에 적용되는 최신 동향을 다루고 있으며, 카카오의 AI 사업 전략 수립에 중요한 시사점을 제공한다.",False,False
I032,이란_수수료_징수_및_미국_제재,국제_정세,SELF_INCLUDED_REGULATION,정부_국회,DIRECT_RISK,GOV_GENERAL_LOW_RELEVANCE,,other,222.5,5,2,2,1,216,216,"이란 ""호르무즈 통행 시 수수료 징수""…美는 2차 제재 경고",한국경제,이란의 호르무즈 통행 수수료 징수 및 미국의 제재 경고는 국제 정세 관련 소식임.,"카카오의 사업과 직접적인 관련이 없는 국제 정세 관련 뉴스로, GOV_GENERAL_LOW_RELEVANCE로 분류 후 제외.",False,False
