id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason
2173,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI 가속화 '제록스리서치센터유럽(XRCE)' 인수",네이버 ai 가속화 제록스리서치센터유럽 xrce 인수,아이뉴스24,아이뉴스24,"Tue, 23 Jun 2026 17:11:18 GMT","네이버, AI 가속화 '제록스리서치센터유럽(XRCE)' 인수 아이뉴스24",https://news.google.com/rss/articles/CBMiVkFVX3lxTE4wbHBaYVRwMkJXVmdqSE1RdkU5RHVIY3gweVFFYzhqZmd5WGRJRldBNGZ1Y3U1M0lrUDF3elNSV3Fhc3RCbXk5Znc1UVRDbzl4RXNnMUZn?oc=5,google_rss_네이버 site:inews24.com when:2d,223.0,38.5,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:mna_capital:naver:mna_capital,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,223.0,"strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,global_incident:mna_capital:naver:mna_capital:general,global_incident:mna_capital:naver:mna_capital,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:mna_capital:naver:mna_capital,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:mna_capital:naver:mna_capital,comp_domestic_ai_platform,
1934,경쟁사/해외이슈,경쟁사_해외이슈,네이버,네이버 '2025 통합보고서' 발간…AI 시대 지속가능 전략 공개,네이버 2025 통합보고서 발간 ai 시대 지속가능 전략 공개,포인트데일리,포인트데일리,"Thu, 25 Jun 2026 01:46:11 GMT",네이버 '2025 통합보고서' 발간…AI 시대 지속가능 전략 공개 포인트데일리,https://news.google.com/rss/articles/CBMicEFVX3lxTE9idlhkRnlKeUppZVBLT2JEUHN5aUJJUVJUNUZkMUhPWGtDb1JZejItUDVSYWZwWkdsMW0wOFlNUDl3XzRDNDduSXZEY1dfTnluZy1VemVoWEFvZFhiX1UtcFJHSlY4UnVzNkdzc0lkajPSAXRBVV95cUxQWVNleUpPNjAzTkJPZGZFcTU3WmpPcFlVTlQ2cXlQWjRwcjJIbThhUDMzUzIyM3BBc1RrVnc1Vy1pZlZuNFhXSGxzUnJEU0FOeUpCNzE5T0wwNUhNdGNsMng1TVFKLWp2TW9qdlFrMTVUMVdacQ?oc=5,google_rss_네이버 when:2d,221.5,27.5,"ai_infrastructure_security,platform_obligation,policy_legislation",ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security+platform_obligation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,221.5,"policy_legislation,ai_infrastructure_security,platform_obligation",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 2025 통합보고서 발간 ai 시대 지속가능 전략 공개,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 2025 통합보고서 발간 ai 시대 지속가능 전략 공개,comp_domestic_ai_platform,
2275,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 떼어낸 KT클라우드 다시 품나…분사 4년 만에 재합병론",kt 떼어낸 kt클라우드 다시 품나 분사 4년 만에 재합병론,MTN 머니투데이방송,MTN 머니투데이방송,"Thu, 25 Jun 2026 02:17:55 GMT","KT, 떼어낸 KT클라우드 다시 품나…분사 4년 만에 재합병론 MTN 머니투데이방송",https://news.google.com/rss/articles/CBMiZEFVX3lxTE9yVXlXOHRRbE1fa1d4QUY3dmlpSGdtQVZRdkRINGRiLUxOMkVLUXRCbi1YSVhQSWs2aTlCTmd1cERmTWw1RVlvUnhSTFBXUXBlbzJPRG9ZNUZLdnJSVjBvaG0tbmM?oc=5,google_rss_KT when:2d,221.0,29.0,strategy_mna_governance,strategy_mna_governance,KT,,,,,,,general,24.0,published_today,direct_risk,global_incident:mna_capital:kt:mna_capital,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,221.0,strategy_mna_governance,competitor:strategy_mna,global_incident:mna_capital:kt:mna_capital:general,global_incident:mna_capital:kt:mna_capital,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:mna_capital:kt:mna_capital,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:mna_capital:kt:mna_capital,comp_domestic_ai_platform,
1900,경쟁사/해외이슈,경쟁사_해외이슈,네이버,[단독]“이제 검색을 대화로”… 네이버 ‘AI탭’ 오늘 정식 출시,이제 검색을 대화로 네이버 ai탭 오늘 정식 출시,조선일보,조선일보,"Thu, 25 Jun 2026 01:35:00 GMT",[단독]“이제 검색을 대화로”… 네이버 ‘AI탭’ 오늘 정식 출시 조선일보,https://news.google.com/rss/articles/CBMigwFBVV95cUxPUDljUnFBVDJVTzh5NHdvYl9sdm53ZW5EenBDX1Yzb0JIVGF0WHBzaEdoX1J0OWJlM1BkbGxMTHkybzZHY0xJdUFlOS1kbVdhS2NoN0k4emJYOTVHWEZNRGQyVWZGOXByRVZkbWZDUDZtRlhjY0I4bkVNV2RpUHk2OVlqRQ?oc=5,google_rss_네이버 when:2d,220.75,19.5,"ai_agent,ai_infrastructure_security,search_ads",ai_infrastructure_security,네이버,,,,,,,general,29.0,published_today+exclusive_breaking,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,220.75,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:이제 검색을 대화로 네이버 ai탭 오늘 정식 출시,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:이제 검색을 대화로 네이버 ai탭 오늘 정식 출시,comp_domestic_ai_platform,
2848,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"치열해지는 AI 가격 전쟁, 오픈AI와 앤트로픽 IPO가 외면당할 수 있다??",치열해지는 ai 가격 전쟁 오픈ai와 앤트로픽 ipo가 외면당할 수 있다,머니네버슬립,머니네버슬립,"Wed, 24 Jun 2026 15:34:50 GMT","치열해지는 AI 가격 전쟁, 오픈AI와 앤트로픽 IPO가 외면당할 수 있다?? 머니네버슬립",https://news.google.com/rss/articles/CBMid0FVX3lxTE0wVWdrYUdDbnNGelYzd0p3SGJpM3J4SmROSUJOZmNBRVYyTDZ1OFJmM1V0cElLc3ZRQUR0YUQ3ZmEyelpnMFVVNE1RZzNUX0QxZlJaTzNnR0lGZkotcmdwRXZHRXFpS3ZST0ExZ1JYaEVtTFVfTUgw0gF3QVVfeXFMTTBVZ2thR0Nuc0Z6VjN3SndIYmkzcnhKZE5JQk5mY0FFVjJMNnU4UmYzVXRwSUtzdlFBRHRhRDdmYTJ6WmcwVVU0TVFnM1RfRDFmUlpPM2dHSUZmSi1yZ3BFdkdFcWlLdlJPQTFnUlhoRW1MVV9NSDA?oc=5,google_rss_오픈AI when:2d,219.5,23.5,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,"앤트로픽,오픈AI",,,,,,,general,24.0,published_today,direct_risk,global_incident:ai_security_policy:openai:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,219.5,"strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,global_incident:ai_security_policy:openai:anthropic_glasswing_security:general,global_incident:ai_security_policy:openai:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:openai:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:openai:anthropic_glasswing_security,comp_overseas_platform_ai,
3030,경쟁사/해외이슈,경쟁사_해외이슈,메타,"퀄컴, AI 데이터센터용 CPU 공개…첫 대형 고객으로 메타 확보",퀄컴 ai 데이터센터용 cpu 공개 첫 대형 고객으로 메타 확보,네이트,네이트,"Wed, 24 Jun 2026 21:54:05 GMT","퀄컴, AI 데이터센터용 CPU 공개…첫 대형 고객으로 메타 확보 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1zeVRNcGQ3Xzg0VmVJeVJqMHRxLXpfWTFPMEFNV0xFdnRLdUdJNXpiX21ucFBIYzNCS1dScWJ4T01vRkY2ZnJuVWc5SFVGbjBSMUU4?oc=5,"google_rss_""메타"" when:2d",219.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,메타,,,,,,,general,24.0,published_today,business_change,event:메타:ai_infrastructure_security+aidc_datacenter,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,global_platform_or_overseas_rule,Y,global,219.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_overseas_regulation_data,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_overseas_regulation_data,
2963,경쟁사/해외이슈,경쟁사_해외이슈,메타,"퀄컴, AI 데이터센터용 CPU 공개...첫 대형 고객으로 메타 확보",퀄컴 ai 데이터센터용 cpu 공개 첫 대형 고객으로 메타 확보,디지털투데이,디지털투데이,"Wed, 24 Jun 2026 21:53:14 GMT","퀄컴, AI 데이터센터용 CPU 공개...첫 대형 고객으로 메타 확보 디지털투데이",https://news.google.com/rss/articles/CBMic0FVX3lxTE5oZUFOTDZjUWtreEpxVHl1SS15MnI2Yk9Jd243eDJPaURrNTIzM3piV280blgyUm9Dc3loZE1xMWxlQmlvWU40Znc2ckRqZXNCdWpkNk90X1VNb2pRa0wxSTVQb0FYLTRDSFRuejRMTjBzMkE?oc=5,google_rss_메타 when:2d,219.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,메타,,,,,,,general,24.0,published_today,business_change,event:메타:ai_infrastructure_security+aidc_datacenter,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,global_platform_or_overseas_rule,Y,global,219.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_overseas_regulation_data,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_overseas_regulation_data,
2959,경쟁사/해외이슈,경쟁사_해외이슈,메타,"퀄컴, AI 데이터센터 CPU 시장 본격 진입... 메타에 '드래곤플라이 C1000' 공급",퀄컴 ai 데이터센터 cpu 시장 본격 진입 메타에 드래곤플라이 c1000 공급,AI타임스,AI타임스,"Thu, 25 Jun 2026 02:26:13 GMT","퀄컴, AI 데이터센터 CPU 시장 본격 진입... 메타에 '드래곤플라이 C1000' 공급 AI타임스",https://news.google.com/rss/articles/CBMiakFVX3lxTFB2YUp2SWtWOTJZaURDTklLcWprTTdSLUk0QklKMFdpWXM4SHlBQUNqLTVzZ0NvcW5NTll3ZXkzUUt5alNpc1F4WXJ4NEVUM0ttOWNRblVJbGZCbUxodW1ka19aLXhkZ1JxUGc?oc=5,google_rss_메타 when:2d,219.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,메타,,,,,,,general,24.0,published_today,business_change,event:메타:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,219.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_overseas_regulation_data,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_overseas_regulation_data,
2654,경쟁사/해외이슈,경쟁사_해외이슈,구글,"구글 인재 유출 심화, 제미나이 핵심 연구원들 앤트로픽으로 이탈",구글 인재 유출 심화 제미나이 핵심 연구원들 앤트로픽으로 이탈,Investing.com 한국어,Investing.com 한국어,"Wed, 24 Jun 2026 18:30:00 GMT","구글 인재 유출 심화, 제미나이 핵심 연구원들 앤트로픽으로 이탈 Investing.com 한국어",https://news.google.com/rss/articles/CBMicEFVX3lxTE9ON2I4RExIaTN5SzVNT25LeHBETUhENG5TSjdHelViY1JiYXVyX19Wc1dmbTRWb29HR0tKaWh1eHhjTVAxME51ZDl5MmgtbEc2SW9hWURwTUR4VXBzcjB6OUl6Q093emlhRlAySmdUZU0?oc=5,google_rss_구글 when:2d,218.5,27.5,ai_agent,,"구글,앤트로픽",,,,,,,general,24.0,published_today,direct_risk,privacy_security:google:data_leak,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,218.5,,,global_incident:ai_security_policy:google:anthropic_glasswing_security:general,global_incident:ai_security_policy:google:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:google:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:google:anthropic_glasswing_security,comp_overseas_platform_ai,
2827,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"오픈AI·브로드컴, 합작 AI 칩 '할라페뇨' 전격 공개..엔비디아 독점 체제 흔든다",오픈ai 브로드컴 합작 ai 칩 할라페뇨 전격 공개 엔비디아 독점 체제 흔든다,파이낸스스코프,파이낸스스코프,"Wed, 24 Jun 2026 23:09:00 GMT","오픈AI·브로드컴, 합작 AI 칩 '할라페뇨' 전격 공개..엔비디아 독점 체제 흔든다 파이낸스스코프",https://news.google.com/rss/articles/CBMiakFVX3lxTFByR1F6NEswSGxjMzJnN01pREJNOUdpMWxXUE1ZZldTYU5qMXcwdkxCT1pnLUJtdkFCa3prUUxDWnNIVzJNcmNSMEk5REtFTFE4eGg5YjBNbncwa2p6anNkRWZ1X0l2NHZfR0E?oc=5,google_rss_오픈AI when:2d,218.5,20.5,"ai_infrastructure_security,market_power_platform",ai_infrastructure_security,오픈AI,,,,,,,general,24.0,published_today,business_change,global_incident:ai_security_policy:openai:openai_security_access,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,global_platform_or_overseas_rule,Y,global,218.5,"market_power_platform,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:ai_security_policy:openai:openai_security_access:announcement,global_incident:ai_security_policy:openai:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:openai:openai_security_access,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:openai:openai_security_access,comp_overseas_platform_ai,
2104,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI 시대 성장 전략 공개…2030년까지 1조원 투자",네이버 ai 시대 성장 전략 공개 2030년까지 1조원 투자,연합뉴스,연합뉴스,"Thu, 25 Jun 2026 00:41:23 GMT","네이버, AI 시대 성장 전략 공개…2030년까지 1조원 투자 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9TQWFMU2p6OVQzYWpneDhCRVhtZVZnNDMtQWVyWWZBZTV5bkhfeXV5N0VjWHVLc1ppM081Y3ZfMkctVjFGcGZudTZ2OWo0NS1nVHBLVkpFTDgxZTjSAWBBVV95cUxQM1dJaVlsR3FpSWI0MzhuVDBtZ2VXR0R5dkthQ1lLMHM0NHZrSHVpdlBYbVZOS0haN0RhWGE0ZFhPYWtPWmUtZmNTNVl5YlF0U3ZIMU9KNnhpRnhqRmF1TFI?oc=5,google_rss_네이버 site:yna.co.kr when:2d,218.5,20.5,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security+policy_legislation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,218.5,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 ai 시대 성장 전략 공개 2030년까지 1조원 투자,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 ai 시대 성장 전략 공개 2030년까지 1조원 투자,comp_domestic_ai_platform,
2283,경쟁사/해외이슈,경쟁사_해외이슈,KT,"[단독]박윤영 ""자회사 쪼개기 상장 문제될수도""... KT, KT클라우드 합병 추진",박윤영 자회사 쪼개기 상장 문제될수도 kt kt클라우드 합병 추진,아시아경제,아시아경제,"Wed, 24 Jun 2026 08:58:18 GMT","[단독]박윤영 ""자회사 쪼개기 상장 문제될수도""... KT, KT클라우드 합병 추진 아시아경제",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1HRmI0Y3ZZckRrNDBkb1hLMklYN2NxT0E1WXNVaVJPRUdyVm5QalpOdTRtdnNFOTczcWo3MGQ3SV9QLTh5ZWQxWGJIZXhlejY1UHVnTFVZb3RIRWxrMFJ6aw?oc=5,google_rss_KT when:2d,217.75,32.0,strategy_mna_governance,strategy_mna_governance,KT,,,,,,,general,19.0,published_yesterday+exclusive_breaking,direct_risk,global_incident:mna_capital:kt:mna_capital,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,217.75,strategy_mna_governance,competitor:strategy_mna,global_incident:mna_capital:kt:mna_capital:announcement,global_incident:mna_capital:kt:mna_capital,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:mna_capital:kt:mna_capital,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:mna_capital:kt:mna_capital,comp_domestic_ai_platform,
2385,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"[단독] LG유플러스, 5G 속도 과장광고 행정소송 '패소'",lg유플러스 5g 속도 과장광고 행정소송 패소,뉴스워치,뉴스워치,"Wed, 24 Jun 2026 08:56:10 GMT","[단독] LG유플러스, 5G 속도 과장광고 행정소송 '패소' 뉴스워치",https://news.google.com/rss/articles/CBMiakFVX3lxTE9LT1BCMjFCWnFsSEw2enlTejlRSzhFWnFxbFZxWnh5YllYZi12VlFlWk0ySmZwaU4yWF9MSFFqZkhhUG81aGNtOHNQLTVGdEV2NmRyaEhIcUU4MWtQWkJ1LTZsdzhzb1UzeWc?oc=5,google_rss_LGU+ when:2d,217.75,32.0,"legal_regulatory_enforcement,search_ads",legal_regulatory_enforcement,LGU+,,,,,,,general,19.0,published_yesterday+exclusive_breaking,direct_risk,event:LGU+:legal_regulatory_enforcement,litigation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,217.75,legal_regulatory_enforcement,competitor:regulatory_enforcement,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,comp_domestic_public_infra:lg유플러스 5g 속도 과장광고 행정소송 패소,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_public_infra:lg유플러스 5g 속도 과장광고 행정소송 패소,comp_domestic_public_infra,
3486,경쟁사/해외이슈,경쟁사_해외이슈,중국 AI,중국서 엔비디아 블랙웰 GPU 암시장 가격 급등,중국서 엔비디아 블랙웰 gpu 암시장 가격 급등,위클리포스트,위클리포스트,"Wed, 24 Jun 2026 15:41:56 GMT",중국서 엔비디아 블랙웰 GPU 암시장 가격 급등 위클리포스트,https://news.google.com/rss/articles/CBMia0FVX3lxTE5jTVhzR3M0SU5DcWQ2dlJFVXZiQXJ3Mnk3QTFuYlVPUVZEbkdnQm5sXy1PT0t3djhERWphbHBNbXhsUnRkZDJlTmI4QkdvTUlhWWNCVVdLbHBQM3ZFQ1BHTXVsc0JLTEVJLXA4?oc=5,"google_rss_""중국 AI"" when:2d",217.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,,,,,,,,general,24.0,published_today,business_change,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,217.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_overseas_platform_ai,
2264,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"월드컵만 풍년, 실적은 흉년…SKT·LGU+ 날아오를 때에 KT ‘나 홀로 역주행’에 투자 매력 꼴찌",월드컵만 풍년 실적은 흉년 skt lgu+ 날아오를 때에 kt 나 홀로 역주행에 투자 매력 꼴찌,뉴스퀘스트,뉴스퀘스트,"Wed, 24 Jun 2026 07:57:57 GMT","월드컵만 풍년, 실적은 흉년…SKT·LGU+ 날아오를 때에 KT ‘나 홀로 역주행’에 투자 매력 꼴찌 뉴스퀘스트",https://news.google.com/rss/articles/CBMic0FVX3lxTE5TQlVyZVFYX3ZxM2VMUHk5d0xHOTMyMnNJaThJLXJ1eFdnLW1rejlOYi1uVVctY05IXzZSU3VfRGRFSWVzV2JPRFUwelZqaUFCQzcxelQ0akpaZFYweWhVS0YxSEl5Y3phbVMyeUFibXNoWFnSAXNBVV95cUxOU0JVcmVRWF92cTNlTFB5OXdMRzkzMjJzSWk4SS1ydXhXZy1ta3o5TmItblVXLWNOSF82UlN1X0RkRUllc1diT0RVMHpWamlBQkM3MXpUNGpKWmRWMHloVUtGMUhJeWN6YW1TMnlBYm1zaFhZ?oc=5,google_rss_SKT when:2d,216.5,32.0,"earnings,financial_performance",financial_performance,"KT,LGU+,SKT",,,,,,,general,14.0,published_yesterday,direct_risk,event:KT+LGU+:financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,216.5,financial_performance,competitor:general,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:월드컵만 풍년 실적은 흉년 skt lgu+ 날아오를 때에 kt 나 홀로 역주행에 투자 매력 꼴찌,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:월드컵만 풍년 실적은 흉년 skt lgu+ 날아오를 때에 kt 나 홀로 역주행에 투자 매력 꼴찌,comp_domestic_strategy,
