검색어,기사제목,발행기관,기사 전체 내용,발행일시,링크
카카오,[초점] 카카오 파업 가능성 대두…더 무거워진 김범수의 어깨 - 뉴스워치,뉴스워치,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE1UYzRXWi02LWpXSEFjSGF4MHFsM1lmY0NQdkxjb29iVVVmNWNFRkNvTE9YTTJtQTlCczhSVmxGVGhFTmhBckZpRnVlVEMtX0UxMWZWU21yd1h0NVJrb1VuTlljc2ZpZUMx?oc=5"" target=""_blank"">[초점] 카카오 파업 가능성 대두…더 무거워진 김범수의 어깨</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스워치</font>",2026-05-22 06:24,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1UYzRXWi02LWpXSEFjSGF4MHFsM1lmY0NQdkxjb29iVVVmNWNFRkNvTE9YTTJtQTlCczhSVmxGVGhFTmhBckZpRnVlVEMtX0UxMWZWU21yd1h0NVJrb1VuTlljc2ZpZUMx?oc=5
카카오,"카카오뱅크, 1분기 중·저신용 대출 4500억원 공급…포용금융 확대 - ebn.co.kr",ebn.co.kr,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE9lYmpSSElLQTg2VWpLQmo5QVREOVpYZk1KTXNzSkNVa1lNakdLTjZCZE1hMHJMQ0M3bG9HLW43dzFCdlhodmVZd1pTeVp1TEVfZ0FGRzR5MHJ0YlJpOUYyZEVGQkhFY0Rx?oc=5"" target=""_blank"">카카오뱅크, 1분기 중·저신용 대출 4500억원 공급…포용금융 확대</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ebn.co.kr</font>",2026-05-22 07:36,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9lYmpSSElLQTg2VWpLQmo5QVREOVpYZk1KTXNzSkNVa1lNakdLTjZCZE1hMHJMQ0M3bG9HLW43dzFCdlhodmVZd1pTeVp1TEVfZ0FGRzR5MHJ0YlJpOUYyZEVGQkhFY0Rx?oc=5
카카오,"카카오엔터, 카카오페이지 6월 ‘초신작 프로젝트’ 라인업 공개 - BBS불교방송",BBS불교방송,"<a href=""https://news.google.com/rss/articles/CBMia0FVX3lxTE5EaHpJMWJ1dC1WT28wdFpIdGNTMW9IeHQxOXQ1eGhGZHAzaEFaX01BWjlyODg5NGd5SjJpWEd6bXdMTmMyWHRPUDNkSVd6aEM2dUZMWllQNmFrZ2xpWlZwNGtfeUlCS1RVUE5N?oc=5"" target=""_blank"">카카오엔터, 카카오페이지 6월 ‘초신작 프로젝트’ 라인업 공개</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBS불교방송</font>",2026-05-22 02:23,https://news.google.com/rss/articles/CBMia0FVX3lxTE5EaHpJMWJ1dC1WT28wdFpIdGNTMW9IeHQxOXQ1eGhGZHAzaEFaX01BWjlyODg5NGd5SjJpWEd6bXdMTmMyWHRPUDNkSVd6aEM2dUZMWllQNmFrZ2xpWlZwNGtfeUlCS1RVUE5N?oc=5
카카오,"카카오페이, 신규 가맹 소상공인에 수수료 면제·성공키트 제공 - 시사캐스트",시사캐스트,"<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTFAzMlVISzY2bGcwTkdoLVZ3bFI4R2JFNVVtemNHbkNUc3NCWHdaZFAyZk5KS0g1WXZONVJEcWNlaUpTSVhtOXpvdEFJR29xNkJHUHhyVkxZZUdpT3hmT1djdVJ3QUQxODQ?oc=5"" target=""_blank"">카카오페이, 신규 가맹 소상공인에 수수료 면제·성공키트 제공</a>&nbsp;&nbsp;<font color=""#6f6f6f"">시사캐스트</font>",2026-05-22 06:27,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFAzMlVISzY2bGcwTkdoLVZ3bFI4R2JFNVVtemNHbkNUc3NCWHdaZFAyZk5KS0g1WXZONVJEcWNlaUpTSVhtOXpvdEFJR29xNkJHUHhyVkxZZUdpT3hmT1djdVJ3QUQxODQ?oc=5
카카오,"카카오페이, 신규 가맹점에 결제 수수료 면제 혜택 - 매일경제 마켓",매일경제 마켓,"<a href=""https://news.google.com/rss/articles/CBMiUkFVX3lxTE8tNnVkY1NwLThFTUpSQ1ZRWklNenhVRGJaUDFlVVBhQkUxQUlpVFk1SlNOa0p0N05YRVRTeW9kRUhyMUUwcXpndDREZm5IU3hDQXc?oc=5"" target=""_blank"">카카오페이, 신규 가맹점에 결제 수수료 면제 혜택</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제 마켓</font>",2026-05-22 05:12,https://news.google.com/rss/articles/CBMiUkFVX3lxTE8tNnVkY1NwLThFTUpSQ1ZRWklNenhVRGJaUDFlVVBhQkUxQUlpVFk1SlNOa0p0N05YRVRTeW9kRUhyMUUwcXpndDREZm5IU3hDQXc?oc=5
카카오,"카카오페이, 신규 가맹점에 결제 수수료 면제 - v.daum.net",v.daum.net,"<a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE5Bb0llenppd242Wm5wU1NKYVhtQ1dmcWctMENzQ2QwNWhPWXlUcG5rcEtZYXhEVWtnenRYWTJSYVIwRmRHU3I0Sk5JTmZFZ2M?oc=5"" target=""_blank"">카카오페이, 신규 가맹점에 결제 수수료 면제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",2026-05-22 02:10,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5Bb0llenppd242Wm5wU1NKYVhtQ1dmcWctMENzQ2QwNWhPWXlUcG5rcEtZYXhEVWtnenRYWTJSYVIwRmRHU3I0Sk5JTmZFZ2M?oc=5
카카오,파업 리스크 덮친 카카오…AI 승부수 먹구름 - ebn.co.kr,ebn.co.kr,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTFBORTJFYXU1RjUyTGpUSHlVemZyWFpCVlBsUE9jeFZ0UXI5b3l2U0JlUmJ1U0JNcFNjUU9KY2VVX1lXbW1fZUUxVVdmOTRjb3RfbXN5YW1fQzg2UVY4d19wV3dabXdqcTEy?oc=5"" target=""_blank"">파업 리스크 덮친 카카오…AI 승부수 먹구름</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ebn.co.kr</font>",2026-05-22 01:37,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBORTJFYXU1RjUyTGpUSHlVemZyWFpCVlBsUE9jeFZ0UXI5b3l2U0JlUmJ1U0JNcFNjUU9KY2VVX1lXbW1fZUUxVVdmOTRjb3RfbXN5YW1fQzg2UVY4d19wV3dabXdqcTEy?oc=5
카카오,"카카오, 트래픽 반등 증명 필요 - 미래에셋증권 - PRESS9",PRESS9,"<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE9pNmlsSWc2X2k3SGJ6M0RBa05Ibl9xeGxKYXpxdUh6TVlXSVZYcWJMb3ZXN0JlQkU2U0lQVzJJWHdUbU1WbE5jU1E1S19hNDdpek55VXhibWk5RnU4ZC1ZM2syZUM?oc=5"" target=""_blank"">카카오, 트래픽 반등 증명 필요 - 미래에셋증권</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PRESS9</font>",2026-05-22 04:31,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9pNmlsSWc2X2k3SGJ6M0RBa05Ibl9xeGxKYXpxdUh6TVlXSVZYcWJMb3ZXN0JlQkU2U0lQVzJJWHdUbU1WbE5jU1E1S19hNDdpek55VXhibWk5RnU4ZC1ZM2syZUM?oc=5
카카오,카카오 파업 위기...‘카카오톡’ 이용자 영향은? - 이코리아,이코리아,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTFAxQWZpYUVqcGRRc1NwZTVVRkkxTEpwcm4wTVRxemZUeEw5THBMdmswcThfTVViUHZXR1RaRVFXaWpVUXRsdkZwWEZ4dkFILTZUc21OandlYXBDODN5RWQxLXl3eHNxNDhpZ1lTRWJIcw?oc=5"" target=""_blank"">카카오 파업 위기...‘카카오톡’ 이용자 영향은?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이코리아</font>",2026-05-22 03:56,https://news.google.com/rss/articles/CBMib0FVX3lxTFAxQWZpYUVqcGRRc1NwZTVVRkkxTEpwcm4wTVRxemZUeEw5THBMdmswcThfTVViUHZXR1RaRVFXaWpVUXRsdkZwWEZ4dkFILTZUc21OandlYXBDODN5RWQxLXl3eHNxNDhpZ1lTRWJIcw?oc=5
카카오,"카카오뱅크·케이뱅크, 중·저신용 대출 목표치 상회…신용 개선 효과도 - 오피니언뉴스",오피니언뉴스,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE1KZXFEQm5QUC0yREpXeG51eHNvcS1yaERxSW56cG9OeVUta2dwaVFNdTg3b3E1d1ZNUHNNMGtZMTFrdko3NUpjSnB3dVFfeHlEV05RMUExV0E2dkNUTHBqOERjdm16UDVkc3NpZjRpeFM?oc=5"" target=""_blank"">카카오뱅크·케이뱅크, 중·저신용 대출 목표치 상회…신용 개선 효과도</a>&nbsp;&nbsp;<font color=""#6f6f6f"">오피니언뉴스</font>",2026-05-22 06:20,https://news.google.com/rss/articles/CBMicEFVX3lxTE1KZXFEQm5QUC0yREpXeG51eHNvcS1yaERxSW56cG9OeVUta2dwaVFNdTg3b3E1d1ZNUHNNMGtZMTFrdko3NUpjSnB3dVFfeHlEV05RMUExV0E2dkNUTHBqOERjdm16UDVkc3NpZjRpeFM?oc=5
카카오,카카오 계열사 4곳 파업 투표 가결 - outstanding.kr,outstanding.kr,"<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE9lejhoZWxKM3pOUG0tclZrenF1a0RMVHJtdTVWNjItc2J0YnlIRFFZcGxKWU5aSzhBdk9tak1IZFFOUUlOWGVRYjhHR2Z5NGhKcDlvQw?oc=5"" target=""_blank"">카카오 계열사 4곳 파업 투표 가결</a>&nbsp;&nbsp;<font color=""#6f6f6f"">outstanding.kr</font>",2026-05-22 05:48,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9lejhoZWxKM3pOUG0tclZrenF1a0RMVHJtdTVWNjItc2J0YnlIRFFZcGxKWU5aSzhBdk9tak1IZFFOUUlOWGVRYjhHR2Z5NGhKcDlvQw?oc=5
카카오,신사업 늘리는 네이버 vs 계열사 파는 카카오 - v.daum.net,v.daum.net,"<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTFBFM3hzSkxlUmVDaWFDVGRQQVlJbTVWdEdEVEhwTDFfVFNJSTlIcTF1ZHVpZW5jdU1hRndsSzFlWEdzOWRlYi13NWZCNmpkOVY5U1lpTA?oc=5"" target=""_blank"">신사업 늘리는 네이버 vs 계열사 파는 카카오</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",2026-05-21 22:41,https://news.google.com/rss/articles/CBMiVEFVX3lxTFBFM3hzSkxlUmVDaWFDVGRQQVlJbTVWdEdEVEhwTDFfVFNJSTlIcTF1ZHVpZW5jdU1hRndsSzFlWEdzOWRlYi13NWZCNmpkOVY5U1lpTA?oc=5
카카오,"카카오페이, 신규 가맹점 페이머니 결제 수수료 전액 면제 - 뉴스1",뉴스1,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE9ibnAxTTZoMm0xUEEtenZpVXpHUW1SSk5BRXFmNlNMeDdlX3hXa01lVWpxNmJhWUpmLXNBZW5QTHlwTlNrdDhqNzFPbGdJRVJ2ay1FTzVkSi0wUmk2ZnJR?oc=5"" target=""_blank"">카카오페이, 신규 가맹점 페이머니 결제 수수료 전액 면제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font>",2026-05-22 04:39,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9ibnAxTTZoMm0xUEEtenZpVXpHUW1SSk5BRXFmNlNMeDdlX3hXa01lVWpxNmJhWUpmLXNBZW5QTHlwTlNrdDhqNzFPbGdJRVJ2ay1FTzVkSi0wUmk2ZnJR?oc=5
카카오,카카오엔터 ‘초신작 프로젝트’ 6월 작품 공개 - 뉴스웰,뉴스웰,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE5KN3BDLVRHUlJva3dLMkZSQ21GVmlCejA2ZEExTm92ckh5LTF5Z1MtS2xoUVROcHFyOHFmRnZDTXRQRWxOTTl1Z2FUaGpMVGlIUHU5TVVwR2RTa1EtbjFSS0tudk5KQlNURVVtVw?oc=5"" target=""_blank"">카카오엔터 ‘초신작 프로젝트’ 6월 작품 공개</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스웰</font>",2026-05-22 05:08,https://news.google.com/rss/articles/CBMibEFVX3lxTE5KN3BDLVRHUlJva3dLMkZSQ21GVmlCejA2ZEExTm92ckh5LTF5Z1MtS2xoUVROcHFyOHFmRnZDTXRQRWxOTTl1Z2FUaGpMVGlIUHU5TVVwR2RTa1EtbjFSS0tudk5KQlNURVVtVw?oc=5
카카오,[기고] 카카오모빌리티를 외국기업에 넘기는 것이 옳은가? - 전자신문,전자신문,"<a href=""https://news.google.com/rss/articles/CBMiTkFVX3lxTFBaY1ZET3htbnVGV3B5NnFqdzc2RWdZU0pmN1hFVU9Bdm5ZdTFnQnNwZGhPZmhleFBiRzdfQ1ZsMU5VR0o2amRIQ2cwY21Edw?oc=5"" target=""_blank"">[기고] 카카오모빌리티를 외국기업에 넘기는 것이 옳은가?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">전자신문</font>",2026-05-22 04:09,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBaY1ZET3htbnVGV3B5NnFqdzc2RWdZU0pmN1hFVU9Bdm5ZdTFnQnNwZGhPZmhleFBiRzdfQ1ZsMU5VR0o2amRIQ2cwY21Edw?oc=5
카카오,[카카오뱅크 고객 ONLY] 카카오뱅크 고객님께 드리는 특별 선물! - coinone.co.kr,coinone.co.kr,"<a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE5henYyeGFZbk00RFZUSkoyZWZYY2RhbXdQOWtUV2l6ckZySnVCNXV3Q0V4VmNid3g1RDM3Tk9rSHBJUldzNV9PclZXbFZUWEk?oc=5"" target=""_blank"">[카카오뱅크 고객 ONLY] 카카오뱅크 고객님께 드리는 특별 선물!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">coinone.co.kr</font>",2026-05-22 02:03,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5henYyeGFZbk00RFZUSkoyZWZYY2RhbXdQOWtUV2l6ckZySnVCNXV3Q0V4VmNid3g1RDM3Tk9rSHBJUldzNV9PclZXbFZUWEk?oc=5
카카오,인도·베트남서 네이버·카카오페이 쓴다… QR 결제체계 구축 - 조선비즈 - Chosunbiz,Chosunbiz,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxOTzB1UWhDengySGdKNDNybUVKZlVMRnBJN2RrRFZ3N29MSEZBQ0d0RDU3MW9HRDlBR2paRFF1NUI2LUFpYzZqckVVRlgxVTBEb2U0cEUzZTVJWEhoN3ZpLXZsS25YSVpLVG5CRjdqV0c0d0xYaHcxWUdlYm1DUm1abdIBlAFBVV95cUxOY0VNOEJxa2E3OFh3b3BpcDlEa3RIUjB3R3VVTDhjMGZkcVB2OVVoTFBuRnJzSmducFAxMlhYRjZabWlIUmt1NWxucHVERUJYNzZQYm5tV2phM3ZvNDFFLXk3UVd3alV4NDFQQUV0NnNLTFlTc0pGOG1ELVRod2x6bXAzLXRwVXNKX3FBdmtFWlhWY1pP?oc=5"" target=""_blank"">인도·베트남서 네이버·카카오페이 쓴다… QR 결제체계 구축 - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chosunbiz</font>",2026-05-22 01:32,https://news.google.com/rss/articles/CBMigAFBVV95cUxOTzB1UWhDengySGdKNDNybUVKZlVMRnBJN2RrRFZ3N29MSEZBQ0d0RDU3MW9HRDlBR2paRFF1NUI2LUFpYzZqckVVRlgxVTBEb2U0cEUzZTVJWEhoN3ZpLXZsS25YSVpLVG5CRjdqV0c0d0xYaHcxWUdlYm1DUm1abdIBlAFBVV95cUxOY0VNOEJxa2E3OFh3b3BpcDlEa3RIUjB3R3VVTDhjMGZkcVB2OVVoTFBuRnJzSmducFAxMlhYRjZabWlIUmt1NWxucHVERUJYNzZQYm5tV2phM3ZvNDFFLXk3UVd3alV4NDFQQUV0NnNLTFlTc0pGOG1ELVRod2x6bXAzLXRwVXNKX3FBdmtFWlhWY1pP?oc=5
