id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,랭킹원점수,편집신호,스토리버킷,강제검토,강제검토사유
28,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,성과급과 고용 안정 요구하며 투쟁에 나선 카카오 노동자들,성과급과 고용 안정 요구하며 투쟁에 나선 카카오 노동자들,노동자 연대,노동자 연대,"Tue, 02 Jun 2026 11:06:58 GMT",성과급과 고용 안정 요구하며 투쟁에 나선 카카오 노동자들 노동자 연대,https://news.google.com/rss/articles/CBMiREFVX3lxTE1qZjZ0MGlwN0VoTks5eERuUW85b3d5eU00RmpyZ3FqRmZ4aXhDNFY0a2oxbWEzQWVWc0JwYkxrb3BvcGZ2?oc=5,google_rss_카카오 when:1d,77.62,86.5,"labor_dispute,labor_negotiation",labor_pay_dispute,카카오,below_absolute_quality_floor,25.0,labor_negotiation,self:labor_compensation,Y,must_review:self_strict:labor_compensation:labor_negotiation
236,정부/국회,정부_국회,과학기술정보통신부,디지털플랫폼 매출 161조 돌파…검색 네이버·AI 챗GPT 쏠림 뚜렷,디지털플랫폼 매출 161조 돌파 검색 네이버 ai 챗gpt 쏠림 뚜렷,헤럴드경제,헤럴드경제,"Wed, 03 Jun 2026 03:56:11 GMT",디지털플랫폼 매출 161조 돌파…검색 네이버·AI 챗GPT 쏠림 뚜렷 헤럴드경제,https://news.google.com/rss/articles/CBMiVkFVX3lxTFB4XzVfb2FZVW5yUGtqWU5oUVdGODhENnVkOWlORi1KaXMwR2VSRzFmMnJaT1RkcVVCcjNDY2ZZOEZYLWRuYkRYdjZvV1RXVEh1dE5QMkZB?oc=5,google_rss_과학기술정보통신부 site:heraldcorp.com when:1d,37.0,54.0,"ai_infrastructure_security,earnings,financial_performance,market_power_platform,search_ads",ai_infrastructure_security,"네이버,오픈AI",below_absolute_quality_floor,37.0,"market_power_platform,financial_performance,ai_infrastructure_security",government:regulatory_enforcement,,
75,정부/국회,정부_국회,과학기술정보통신부,"디지털플랫폼 매출 161조…검색 1위는 네이버, AI 1위는 챗GPT",디지털플랫폼 매출 161조 검색 1위는 네이버 ai 1위는 챗gpt,v.daum.net,v.daum.net,"Wed, 03 Jun 2026 06:05:37 GMT","디지털플랫폼 매출 161조…검색 1위는 네이버, AI 1위는 챗GPT v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE92eURGNTJ5OFBiYVhiT0E0LUZ1MEVBQ3B1VXJiOHlGWGJiZm01d0N4VG84N3JzaGNsUkJHTjJMWEJxY040dlI2R1pwLWl4eTg?oc=5,google_rss_과학기술정보통신부 when:1d,34.0,54.0,"ai_infrastructure_security,earnings,financial_performance,market_power_platform,search_ads",ai_infrastructure_security,"네이버,오픈AI",below_absolute_quality_floor,34.0,"market_power_platform,financial_performance,ai_infrastructure_security",government:regulatory_enforcement,,
1110,정부/국회,정부_국회,스테이블코인,"이번엔 가상자산 거래소 제재…이란, 미 '경제적 분노'에 굴복할까 - 머니투데이",이번엔 가상자산 거래소 제재 이란 미 경제적 분노 에 굴복할까,머니투데이,머니투데이,"Wed, 03 Jun 2026 04:23:36 GMT","이번엔 가상자산 거래소 제재…이란, 미 '경제적 분노'에 굴복할까 - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMibkFVX3lxTFAyT2lSWXAtcG9iV3ZqNTlDdzM2SXlDdkJud3dsUU9reGtNbU4xQTM4Mjl6d2JFQmRmcHZWNFBkRXROeUVnMGpzb0NTT21JampyaExKRnB1TUVwb0ItTVpxYkMyZTB4VjFYSi1TSmFn0gFuQVVfeXFMUDJPaVJZcC1wb2JXdmo1OUN3MzZJeUN2Qm53d2xRT2t4a01tTjFBMzgyOXp3YkVCZGZwdlY0UGRFdE55RWcwanNvQ1NPbUlqanJoTEpGcHVNRXBvQi1NWnFiQzJlMHhWMVhKLVNKYWc?oc=5,google_rss_스테이블코인 site:mt.co.kr when:1d,32.0,46.0,"digital_asset_stablecoin,legal_regulatory_enforcement,stablecoin",stablecoin_general,,below_absolute_quality_floor,32.0,"legal_regulatory_enforcement,digital_asset_stablecoin",government:regulatory_enforcement,,
59,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,국민 플랫폼 쏠림 뚜렷..검색은 네이버·메신저는 카톡·AI는 챗GPT,국민 플랫폼 쏠림 뚜렷 검색은 네이버 메신저는 카톡 ai는 챗gpt,한국정경신문,한국정경신문,"Wed, 03 Jun 2026 04:41:28 GMT",국민 플랫폼 쏠림 뚜렷..검색은 네이버·메신저는 카톡·AI는 챗GPT 한국정경신문,https://news.google.com/rss/articles/CBMiUkFVX3lxTFB4alkya3BlbkIzQUZBMklydm1qM1pqN3YxVERSRjROdEJTVXkxS1NyYm5BcEJ2a3MyUjVvRmswalRoLTFfVnNIUDAydGJlWFNUc3c?oc=5,google_rss_카카오 AI when:1d,31.5,44.5,"ai_infrastructure_security,market_power_platform,search_ads",ai_infrastructure_security,"네이버,오픈AI,카카오,카카오서비스,카카오톡",below_absolute_quality_floor,31.5,"market_power_platform,ai_infrastructure_security",self:ai_strategy,,
1221,정부/국회,정부_국회,딥페이크,"""AI 목소리도 안 통한다""…구글, 딥페이크 보이스피싱 차단 기술 공개",ai 목소리도 안 통한다 구글 딥페이크 보이스피싱 차단 기술 공개,AI타임스,AI타임스,"Wed, 03 Jun 2026 09:20:15 GMT","""AI 목소리도 안 통한다""…구글, 딥페이크 보이스피싱 차단 기술 공개 AI타임스",https://news.google.com/rss/articles/CBMiakFVX3lxTFBhdkk5Yk5EUTJ0Ymk5dkl0MGtKVnhuUTI4a2liNnA0YWFoOWQ0NDY0MnN3R0MwcTUxaXQwVmZJYkVPd1QzZXJhU001THFPMXFVTnZRMGpuUzBxOW90SFlGX0VQSjhhb2JtZUE?oc=5,google_rss_딥페이크 when:1d,31.0,55.5,"ai_infrastructure_security,deepfake_youth,phishing_security,privacy_security_reliability",security_phishing_malware,구글,below_absolute_quality_floor,31.0,"privacy_security_reliability,ai_infrastructure_security",government:tech_security_policy,,
141,정부/국회,정부_국회,과학기술정보통신부,해킹 괴물 미토스 접근권 얻었다…과기부·삼전닉스 ‘글래스윙 프로젝트’ 전격 합류,해킹 괴물 미토스 접근권 얻었다 과기부 삼전닉스 글래스윙 프로젝트 전격 합류,매일경제,매일경제,"Wed, 03 Jun 2026 04:26:04 GMT",해킹 괴물 미토스 접근권 얻었다…과기부·삼전닉스 ‘글래스윙 프로젝트’ 전격 합류 매일경제,https://news.google.com/rss/articles/CBMiRkFVX3lxTE50T1RCaEpGRHp2OEl1emNfbkJQQnJReWlNc2lwRUJNbjFKN3dSOXNBbk45UExBbThxSHlNWWNhU0xJSExBc3c?oc=5,google_rss_과학기술정보통신부 해킹 when:1d,31.0,48.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_hacking_incident,"과기정통부,앤트로픽,토스",below_absolute_quality_floor,31.0,"privacy_security_reliability,ai_infrastructure_security",government:tech_security_policy,,
74,정부/국회,정부_국회,과학기술정보통신부,부가통신 매출 502조 돌파…디지털플랫폼 75%가 AI 활용,부가통신 매출 502조 돌파 디지털플랫폼 75 가 ai 활용,파이낸셜투데이,파이낸셜투데이,"Wed, 03 Jun 2026 09:13:55 GMT",부가통신 매출 502조 돌파…디지털플랫폼 75%가 AI 활용 파이낸셜투데이,https://news.google.com/rss/articles/CBMia0FVX3lxTFBTUGpkVk9oVkRDWklkMDJwbUJCdnRxZ21NUmZubG1JbGpCbTNUeGQxSGxIUko3ZjNaNTB4eXlQd2N4azcwejFEel9NLXUzWGx5MkxzTXk1a0NLMFBGNmNRV0wtby1fSTBjb0ZZ0gFuQVVfeXFMTjM2ZjNCSUxsOWJ6ZWd0OUpIVjlQMVBrM3cycS1fVHZmV1JfemhBblBOSUNZNXlUWXR2aml0eENLSm84SkZ1QWtfVFo2Q1Vwemd0MDlJYmRwemk3Yk9tT1dCWTZtR0Q3OFQzTzhtNVE?oc=5,google_rss_과학기술정보통신부 when:1d,31.0,46.0,"ai_infrastructure_security,earnings,financial_performance,market_power_platform",ai_infrastructure_security,,below_absolute_quality_floor,31.0,"market_power_platform,financial_performance,ai_infrastructure_security",government:regulatory_enforcement,,
928,정부/국회,정부_국회,플랫폼 규제,“배달앱 수수료 공시제 도입해야…데이터 기반 소상공인 정책 연구할 것”,배달앱 수수료 공시제 도입해야 데이터 기반 소상공인 정책 연구할 것,이데일리,이데일리,"Wed, 03 Jun 2026 04:13:03 GMT",“배달앱 수수료 공시제 도입해야…데이터 기반 소상공인 정책 연구할 것” 이데일리,https://news.google.com/rss/articles/CBMigAFBVV95cUxNRFppRzd3dVBVM1d1bTR5ci10QldQLTgwNldTSElucFN4MzdONldKQnJPNXZ3WVNMYlhHZzh6NzYyTTNXeXl5a3RQOWdoY05uZGRvVGdnUGFUZzByY0dTcVpSUTE0eURtcW5Td3hZdHlQM19CUG9tOUNPWXFqbkNrSQ?oc=5,google_rss_플랫폼 규제 when:1d,31.0,43.0,"financial_performance,market_power_platform,policy_legislation",financial_performance,,below_absolute_quality_floor,31.0,"policy_legislation,market_power_platform,financial_performance",government:regulatory_enforcement,,
601,정부/국회,정부_국회,금융위원회,"선관위, '가상자산 신고 누락 의혹' 유정복 경찰에 고발",선관위 가상자산 신고 누락 의혹 유정복 경찰에 고발,연합뉴스,연합뉴스,"Wed, 03 Jun 2026 01:23:53 GMT","선관위, '가상자산 신고 누락 의혹' 유정복 경찰에 고발 연합뉴스",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1lZnNnRTY1b0lnRU14akRtRl9tVDEzcXBiYlU1X1ZEc0ZfZ2gyVk9Pa1BRdmVOWWRfWnkySERYXzlwZW1iQ2RVUjlJVXVWQU94OF94dkU2UDMtWWEtSk0zdtIBYEFVX3lxTE1lZnNnRTY1b0lnRU14akRtRl9tVDEzcXBiYlU1X1ZEc0ZfZ2gyVk9Pa1BRdmVOWWRfWnkySERYXzlwZW1iQ2RVUjlJVXVWQU94OF94dkU2UDMtWWEtSk0zdg?oc=5,google_rss_금융위원회 site:yna.co.kr when:1d,31.0,43.0,"digital_asset_stablecoin,legal_regulatory_enforcement,stablecoin",stablecoin_general,,below_absolute_quality_floor,31.0,"legal_regulatory_enforcement,policy_legislation,digital_asset_stablecoin",government:regulatory_enforcement,,
69,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오톡,한국인이 많이 쓰는 플랫폼...챗GPT·네이버·카톡,한국인이 많이 쓰는 플랫폼 챗gpt 네이버 카톡,서울경제,서울경제,"Wed, 03 Jun 2026 08:12:30 GMT",한국인이 많이 쓰는 플랫폼...챗GPT·네이버·카톡 서울경제,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5KR2wzUnVsdTZFTXM5bEZRaWV2eEVCeTJmUnlpcDgwQk9SYlg1bnZoS21Yem9wTHBicUtUNXQ3OWR5cDQtTlg0dlVTdFMxZlR3X1HSAVNBVV95cUxQanNEVThUUlpBX3JWUGZjWFhMZ1A3cWQxUU5aQ0J1dHF2Yl9fVEhqRGxlSmlCbGM2V0cxZmJnUXJZd0o1TWhyaHlPUEgzaWRZVkdlZw?oc=5,google_rss_카카오톡 AI when:1d,30.5,41.5,"ai_infrastructure_security,market_power_platform",ai_infrastructure_security,"네이버,오픈AI,카카오,카카오서비스,카카오톡",below_absolute_quality_floor,30.5,"market_power_platform,ai_infrastructure_security",self:ai_strategy,,
1304,경쟁사/해외이슈,경쟁사_해외이슈,네이버,플랫폼 매출 161조 돌파…검색 네이버·AI 챗GPT '1위',플랫폼 매출 161조 돌파 검색 네이버 ai 챗gpt 1위,네이트,네이트,"Wed, 03 Jun 2026 04:35:00 GMT",플랫폼 매출 161조 돌파…검색 네이버·AI 챗GPT '1위' 네이트,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBTQXZRUmVZT3NrUm1zQXVHZ2hzQU5FQWUzVXExc0RVMmRJZmNNdmcxS0dqaUs4bEstbFBrTWwxLW5UejR0TXVhV2lMMmtOT1dlR3dJ?oc=5,google_rss_네이버 when:1d,30.0,51.0,"ai_infrastructure_security,earnings,financial_performance,market_power_platform,search_ads",ai_infrastructure_security,"네이버,오픈AI",below_absolute_quality_floor,30.0,"market_power_platform,financial_performance,ai_infrastructure_security",competitor:regulatory_enforcement,,
146,정부/국회,정부_국회,과학기술정보통신부,"티빙 개인정보 유출 '중대 사고' 판단…정부, 민관합동조사단 꾸렸다",티빙 개인정보 유출 중대 사고 판단 정부 민관합동조사단 꾸렸다,이데일리,이데일리,"Wed, 03 Jun 2026 09:29:51 GMT","티빙 개인정보 유출 '중대 사고' 판단…정부, 민관합동조사단 꾸렸다 이데일리",https://news.google.com/rss/articles/CBMigAFBVV95cUxNdkxNZGNoQ0s5ejZHNTRhSzZQVC1KbXpOMHpDVWFVNEFzN2tOYTFuWE1FNlJET0hmY2dOa3dRXzl4ZDRQTjd1OFdaaFhYZ05jWHNLZlZwQWZMbTlJUHdfckJsaVZwWHJfWFAwbVB4UmE0ZklWVTZxSEtaV0xtSkMxRA?oc=5,google_rss_과학기술정보통신부 개인정보 when:1d,30.0,45.0,"phishing_security,privacy_security_reliability",security_privacy_leak,,below_absolute_quality_floor,30.0,privacy_security_reliability,government:tech_security_policy,,
144,정부/국회,정부_국회,과학기술정보통신부,"티빙, 개인정보 유출 통지…“6월 2일 해킹 확인, 피해 접수센터 운영”",티빙 개인정보 유출 통지 6월 2일 해킹 확인 피해 접수센터 운영,이데일리,이데일리,"Wed, 03 Jun 2026 05:58:25 GMT","티빙, 개인정보 유출 통지…“6월 2일 해킹 확인, 피해 접수센터 운영” 이데일리",https://news.google.com/rss/articles/CBMigAFBVV95cUxNRWZYOHI4YlJYeUhsY1ViYUhlaHpkLTR0NHpJcmZzX1hldlBGVnc0WDhPR1NMT3pyY0xrUzAzdmlINWthZXFCWHJpQkt5UTdkWEpQZ1ZQbXpDWDFVa1J6NWtXQTIxWHpUYjdoT3pRNWJoblpKSU50NktMT3ppSzVVdg?oc=5,google_rss_과학기술정보통신부 해킹 when:1d,30.0,45.0,"phishing_security,privacy_security_reliability",security_hacking_incident,,below_absolute_quality_floor,30.0,privacy_security_reliability,government:tech_security_policy,,
792,정부/국회,정부_국회,금융감독원,실손보험 적자 2조원 육박..'로봇수술' 종합병원 타간 보험금 급증 - 머니투데이,실손보험 적자 2조원 육박 로봇수술 종합병원 타간 보험금 급증,머니투데이,머니투데이,"Wed, 03 Jun 2026 03:00:00 GMT",실손보험 적자 2조원 육박..'로봇수술' 종합병원 타간 보험금 급증 - 머니투데이 머니투데이,https://news.google.com/rss/articles/CBMia0FVX3lxTE13UlpBUGVSTUtsd2RyUFU4QmJ6TmJqb3ViUEV6ZW4weGR6Qm1ONUVKVHRnNWpyQkx2alBxSWtHQktPcXVrVFBmb3Zad1JwQVdmZVRsdUZHd2hQMDE1N1BPSkNTTUE2Z1FrU2cw0gFwQVVfeXFMUDJKeWJadkMxbXRfM0lVNHhtM1lVNzFJVzhSc0p2OGJlUk1ZRTJETE5obmNpY09YM0JyT21SbVpFbVdYUG5hZWVnYU9IeGNVLUd5RjhITGw2ckNxNngya2ZPNE1XUk9MMDdzVHFKTXNTRw?oc=5,google_rss_금융감독원 site:mt.co.kr when:1d,30.0,45.0,"earnings,financial_performance,strategy_mna_governance",financial_performance,,below_absolute_quality_floor,30.0,"strategy_mna_governance,financial_performance",government:general,,
