검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,제외단계,후보대표점수,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"카카오페이, 4000만명 정보 알리페이 제공…법원 “60억원 과징금 정당”",https://news.google.com/rss/articles/CBMib0FVX3lxTE9ELUtab0hZUTVPVDdQcnhTMzVaU29sbmZrSGdCaHJVZUtva3JzOTdRSE1yZklCTzlFNy1qc0dCNmtvQlIxcG8zakZTb2dVbzlIRkRFRHZpMmRvNUdBejduZzhoT2hKcDFzbkdmbEw0UdIBb0FVX3lxTE9ELUtab0hZUTVPVDdQcnhTMzVaU29sbmZrSGdCaHJVZUtva3JzOTdRSE1yZklCTzlFNy1qc0dCNmtvQlIxcG8zakZTb2dVbzlIRkRFRHZpMmRvNUdBejduZzhoT2hKcDFzbkdmbEw0UQ?oc=5,더퍼블릭,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[금융 HOT 뉴스] ""대안신용평가 승부수 通""…카카오뱅크, 중·저신용 대출 1.2조 공급",https://news.google.com/rss/articles/CBMia0FVX3lxTE9KR0ZKYlgyNlZyQkl4Snd5eUtUdmhhNG0waUxDalI4Wnl3UmJMYVlUbTdmVGpENlVfWno1SDUwTDJvRVYwanMzUTl6bUNPcnFKQjF4Um83VUFNYUNRRGZNbnliT0FmckFqU0VB?oc=5,비즈월드,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,KR + IT = 야호~,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9hUk5ERTlHWkVHRjB3NmV6WWI0bk5nUHI3azU3OVM5Q1hkRkhvWEFRbDd4QzZiZm94TG0zNHVYa1dWRFJadzFPU2F3NFVrWnRVR3ZoRlBnMUVjQTJvWE5pc0pwd3k?oc=5,대한민국 정책브리핑,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,[기획] '삼겹살 회동'이 드러낸 AI 협력 지형…카카오는 왜 빠졌나,https://news.google.com/rss/articles/CBMiZEFVX3lxTE94YzM2LVE2eVdBTC1PWm5JdGFiSktPbE85eGR6dnk3V2x6R0ZHWEFQOE84RDF1NW1aZ1JuZHF6Y0NPdGIwOFFJbTN4NHpKOTJtR3BZaFhKZm5aSnFUQS13Vm81bGo?oc=5,서울경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[주식민원처리반 3부] '고영, 카카오' 월요일에 선택할 이 종목은? - 머니투데이",https://news.google.com/rss/articles/CBMiaEFVX3lxTFB4VHpUdE1oSXhNbUE1ekxRU2NXVnRxWE5lc0NReWl2d245NHBYRWZpeFZOeGpDWTlvNjhJRWRHR2FxenVka1Ezc20wZXVVOFpRN0N3YXFmZU1pdXRNVVR2WU5Hd3pzXzRE0gFuQVVfeXFMTW5XVnZ0clI3MTdqR3FEMkFDS1JaWWQ0ek5hZ0ZJaDlJVzdrTk0xTE1HYk1ZRUp0TGN2MjJhcVdxMmJEdWZnaHRtWDZPVDRULUItcXF6bFNZa2gxMTJaRjFwamlSczJvclVJV0pheHc?oc=5,머니투데이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오게임즈, 문체부와 신작 게임 ‘도깨비의 세계’ 기반 전통문화상품 개발 협업",https://news.google.com/rss/articles/CBMiY0FVX3lxTE9sNHhBMmgzOHBoaDVrb1ctSGo4dmJYYWpuZDRrUjl0eFFzSVBTLWFSSVprVS1jc0dNSzFVTUR6RGpDVnRzWWFtSkdnSGFKQ0Y4bzBhWnpPbTBYN3F3bTlJQmNzYw?oc=5,쿠키뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오페이 투자분석 2026. 06. 13,https://news.google.com/rss/articles/CBMic0FVX3lxTE1samczU0JuSGdYX2x6MlA1cWQ5RUtpLXlhLUJ2VVM0TzZ6MkxiNjIyd3hXTW5fZTVianRUUnNabVNKSnN0dE5NUkpPMDBNMXZBRGd6anlEYmZ2N2JhZEFFUHJBYU84RDRiZWdtR2x3eWt3djA?oc=5,주달,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,월드컵 품은 네이버·카카오…응원 열기 속 서비스 띄우기 경쟁,https://news.google.com/rss/articles/CBMiT0FVX3lxTE95NkdtaDB0YUtxcE5wTmxTZDZMaC1vOVliSXhqby1USzg2MUsyT3dxcGJYd0V6aVVJQnRsX09SelVjQ0JCNWxGcjRPVm9QWG8?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,대한민국 축구…카카오페이 퀴즈타임 '6월 14일' 정답 공개,https://news.google.com/rss/articles/CBMiVkFVX3lxTE01Q1M5YnFEMkdZcGF5Ul9zQzMyc0U2MC1YeldQOTRuc1VIVFQxVTQxcE4xZVpobHV2MWhJdlZyMW91ZWlOZ18wMV9NZ0taRVJjYUdLUEFR?oc=5,위키트리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"""같이 보고 응원해요""···월드컵 특수 노리는 네이버·카카오",https://news.google.com/rss/articles/CBMickFVX3lxTE1HMEV1enhMTktmV1Y5WmRFMEhyZFlick5JekdpYmtHdnRmdl9sSEJRMC1UcDZQMDRmVklSMHRVcnR0TDZCei03bFJrTFlteTF4Y205Ylh6VzhJZXRXbENGVVRfOFpjTVFOX1R1dUxPTnV6Zw?oc=5,시사저널e,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,[굿모닝금융] 수은·카카오페이·MG신용정보 등,https://news.google.com/rss/articles/CBMiakFVX3lxTE5ncHh1aDVDdVZKVEY0VXZBcGNJbFhnSVdPTUF0dHdpcVVjb0IxTkQtS3dUTkpkNkNrZGFnRW1vS0pvaUp2bDl0T2gtbV95clY0TTN5NmxLMHlac2h4OXdTTHNuQWhuM0hodnc?oc=5,비즈월드,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,오픈AI 샘 올트먼 방한 연기… 카카오 대면 동맹 ‘순연’,https://news.google.com/rss/articles/CBMibEFVX3lxTE5JeldUS0h2a3RtVDhtUWpZV0Y1Q1NBWlp5QVZCTFhqR2lBQ0dwSVRhZkpsVzU5QS1WYjdka0VjcmRRS0d0SG9MYXlIOWFic2ZHd050MEdPbGpKQ2RkM0ZTYnY2aFEtTUpOLWZmUQ?oc=5,이코노미톡뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[새 판 짜는 거래소①] 카카오 지우고 금융권 품었다…두나무, 웹3 금융 허브로",https://news.google.com/rss/articles/CBMiXkFVX3lxTE16UVRScXIwNHdDUzE4Nk9UeHh6NGtWRVAxcXhCdjB0cmd4NUoyZzk5NG0yS0U4Z0dlTHdGQ1AyQ0RCN2V2cjRfYTQ0STdfZUJ0MkxJTTl6bHhMUlUxN0E?oc=5,뉴스투데이,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"""AI 없인 다음 없다""…카뱅이 그린 AI뱅크의 청사진[인터뷰]",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9wSlhZVlBFdm9PUU5oQVRFSUdsMnZMbVVMMjduSUg2YzBUNENnc3pQdzZBT3kzQnRyNTN3aThuT0ZPM1A0UkltbWE1NXNLNm8yR2hV?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,카카오뱅크 AI 이모지 퀴즈 정답(6월13일),https://news.google.com/rss/articles/CBMibEFVX3lxTE16TzRNemQxc01TUkdtcDgyX09yYXJsTWVMeWNEN0szQTFGM2ZZTG9qazh3QmZVVW5PamFTM0tGRm8tdkxkTGRXcXdwN2xaNXFxSWo5VVlFTks0WUpKcWdiWkpVVi1VRmZBemctRA?oc=5,게임톡,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"직방, 'ChatGPT for 카카오'에 부동산 서비스 제공",https://news.google.com/rss/articles/CBMiakFVX3lxTE43akRsNktFRGpucTdZQVdkUFpUZ0R4UkNfOHBJNnBLMzZIZ3hKbUp3NUlvZ1BpeWpBSHZsNlRlNTI4UVRxSzZXeWdicU1Ga2JkZ0FkUFcxN3ZhYkN0MThwcG9BV2FTQmJOUUE?oc=5,서울파이낸스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오게임즈 ”축제? 아직 끝나지 않았습니다”,https://news.google.com/rss/articles/CBMibEFVX3lxTE9qN1E0dVlnNWZYNjdZaENGMk5fekYyck1ZNko4YU1VZWNYNUE3Ym83MVowVG9NenAtUnc1WFBBUl81ZlNySmMyMFJfUXdqUkFEOEk3QzdGbkduZGdvUWdTaVNvbldBa1h6eWlteg?oc=5,게임톡,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,창사 이후 첫 파업한 카카오.. 29일 ‘로그오프 데이’ 예고,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9scnhIYVQxYUtXSTRVU2U5TGxxQmtGNEhMMXVDcEtPNkFwVFFBZGJLRFpKTTZabnlLd29OOWVZWjAyLXg5Yk9xQ2haTmRlVVVFWGNvNQ?oc=5,outstanding.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"미니보험 넘어 장기보험으로…카카오페이손보, 성장·수익성 개선 이어갈까",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1ZalRNMEEwaGpHMkZxMDhTc05wWnM0TG9XLWxvSXF3RnZ6bC0xNjJaalFCajZTc0dqNjVJUWg5S3ByV1NQNEQ1RDYyUHRaX1l0MGZ6SjdR0gG7AkFVX3lxTE9FQlAyM3VtN0lCX3VXQnlIVm43ZFV2OUxCUjdmN2lJclJ1enNVRU93T2xhc2lCdE91YXdnWHc5alRmYlhGLVZqTEpCQjVWSUZZZ0hxMXc5bm42ZGFYSkVqOUhYMHFKdlZ5SGxVLU03dzdZaEtzckFxUkQ5MFh6NFlsRnpiQWF2dFpEbmd6bXJQRlpzZVJnYWZIOWNrQzdKYV9nTXp2aXdIMUg4YmdTLU9rSjdmcUtzcS1zdThXa250N3g3dEVlcW9uWkJxSXg3RjhQTm5qd3BpMjVvaFVlS1VhbjJUZ2pvYXowT2hJbDM4RGowdVl6ekg5dmI2bDNLYUJSWC1vUkhfSUtUc0ZOWDY5Vm42SC0zY3h5d2NIYUY0Z3FFYzUwdVJ0eEFsbWVSd3Q1SF9DLVpWTGtqWQ?oc=5,데일리안,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,한복 입은 MMORPG...카카오게임즈X한국공예진흥원,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9TX3p0MmNSOU9DNGx0WWMzTWp0SjBnTXBzQU4wQVUzMHQ1elpzVHNrVEg5VV9NOVNvRGw0M1dUM1BqQzY1Wnc0NmV0aFYyV1M5bTJpQ180a2l6VVRaZmhPbGFWWndjd9IBakFVX3lxTE5ERGJiTFV1UDNFTnh3a250VEtYUkVkakhuVEhKekoyNng3bF9ZWm8zUnNONnozcWkwMGtJbDUyYTl5X1lMT1lxeUY2NWxPVEF5VjdQVkhjYzNNbWhMUUkzREh4V2RkY2piSkE?oc=5,게임와이,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오페이... 부산 지하철 ‘QR 모바일 승차권’ 간편결제 도입,https://news.google.com/rss/articles/CBMiVEFVX3lxTFBTcjNHUXFCMk9QN1NwaW1ONVBXOGd4RnN3VTZ3ckVVZkFveFJiTW5qczI1WjJqY1ZtQ2g0aDl6RzhXblpldmY2RVNlbXJqYUxtakZhTQ?oc=5,더글로벌기빙뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[주식민원처리반 3부] '고영, 카카오' 월요일에 선택할 이 종목은?",https://news.google.com/rss/articles/CBMiZEFVX3lxTE9jRTJ3cjlOTlA0OUwwMjA3TFppNE0ya0Y1WW8zOEpvZ0NzVDJfUy1IRHdnT2F6U0Z6QjBuR0NyWG5kMW1oTU9SUGRfWG00WVhrODBDNGs5OVJCUDhYOEVMYV9JdHE?oc=5,MTN 머니투데이방송,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,[분석] 네이버-엔비디아 회동에 ‘카카오’ 왜 없나 했더니… “오픈AI 만난다”,https://news.google.com/rss/articles/CBMibEFVX3lxTE9MNGRWNFJZNU5xb25wbU1rSjRwUHA4S2ZNbEVNazcxamtScXlUdGZsNV9vV3JEQjNMMXI2SWtVc0V5d0dseVdjTUV5R0lLZGlXOU9yejZaclFudTZqRWVzVU1OTmRFRDFjVmZVOA?oc=5,이코노미톡뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오 노조, 창사 첫 파업 나서… 판교 집회에 IT 노조 집결",https://news.google.com/rss/articles/CBMi6gJBVV95cUxQSTJjQXB4a0Z6ckdicWIwaFBFSzI1N3o4YW1EWTlQVkN2bW5HeUthS1dTUTVRd2hIMjJOSGdERWFWR0p3ZkhLTWtHODE1N0EyOUxzWjZyRzlJTnEwQzc1SlpxR3BtTzFNRGpyZUtqSnA3MGEwN1hvTmZvSzJlcXpnc25WaU0tSFdKdkVadWU0S2RIVlN2bnNJNjJyYzVOR2lpUVFVakZGUFZrUXZMZWZ0NGJCVHlDMmJVR2xZVHZZd1Y3emQxeEQxUVlTU3NpZXZqZmFUS1ZsYUhxOVVqS2Z5UFZvakIwdm5MaUdTeGlBMDRUVG1TRlRHNm5SLXBueDNLWmpuRkZoVmhlRVRpMUNmUGcyX19iU0YwUS1vTXRMVnRuLUNoQzZuZWd3OWlyNUszYmRUbzRkUVNmZ19jQlUxeUNTbU5PekZPYS1BVlpWdTNPOUpDbGtSOXVfWEVVaEpad1ZLY2QxWjIyZw?oc=5,MSN,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오게임즈 '우마무스메 프리티 더비' 4주년 오프라인 페스티벌 개최, 유저 3000여명 함께 즐겨",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1jUEN4Q0xYdjBDQlJWSUdrTExPTG9uT1RlSzBTQkQzclhFRW9pRVB6VXlLNGN6S0tXWFFfMGJhOEhBQW1wSDlpWVBEMzZsaUphRjJWcDlnSWFQTzExS2ZXLQ?oc=5,게임포커스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오페이, 부산도시철도 QR 모바일 승차권 간편결제 지원",https://news.google.com/rss/articles/CBMiakFVX3lxTE9JbnlEc2praEhpZTJEYWNMRTA3YkYzSmFLeUxXXzNjZG9ueG9pR2tWNWpDS044WkJxcHVPbVRKbFFRcVJSTDluYm5QaXFUY2ZmbEtjTFFXQlFDSURZclpBTkxvUHY4LTVyeVE?oc=5,디지털경제뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,카카오뱅크 비금융 정보로만 중·저신용 대출 1.2조,https://news.google.com/rss/articles/CBMizgJBVV95cUxNaVBlS0Z4X2dMV0cxNUxxUWhZeXlRZTFqOUFsZ01xS1ZfSmZTclJNMlJNNVVVT20xc1loejNremdJdFFveldXdjBvdmlxaFVab0xuZHZlbXlUdnVzbUthUTd1M3hWVmxIM0ZyU3BDVFk1dkRvXzlLWmtoOURLTFZGVl80c3BjNGh2QlJxSjVwN0ZpT1dicWNqS2RJZm5fWVdRaEs3N0g5SHFWQUw4M3VESTlfNFhpZ09xNTFXdlRhX3g2eG1PT1V4Y3FPRkp4MndObUQtcGFJenJDTFF1QXhldmI2SGZnUndid2FaOVFlRUJpWG5GUmxZUTZDSml3WXF1TGtDdUQ3NGp2YTgtaGhyOTRndk9wZURHZnNReW1xcHZVZjgyWGY3Q1FYYkIta29ZbzNtZTJQcGZPenZhaFI4dktSVFdfaVNBM1JNQS1B?oc=5,MSN,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[IT큐레이션] 가슴을 열어 손을 잡는 카카오모빌리티 자율주행, 보법이 다르네",https://news.google.com/rss/articles/CBMibEFVX3lxTE1YVnQ1cVgwM0FIR19GaDUxbVBHTFp1TG5ocW5xd2FfTjZaenFidEhMc3pnSnp0WDVrQXBCcVBIT2NISGhVY0RJRWltd2t6RjM4Nm1zZUpyNVZzbVlVTFJLdlhkdkRDam9HUng5Zw?oc=5,ER 이코노믹리뷰,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오페이, 부산도시철도 ‘QR 모바일 승차권’ 간편결제 참여",https://news.google.com/rss/articles/CBMia0FVX3lxTE8xc1VuN0doOG9ibnBFM3FPOVRkN0FNQmJVWjlDcXlGbG9nZm9SV245NmVRX3J1Nk9MZV9ud2FRcmN1T2VXV2FrRkFiYmdGNWdvQWczZG9mZlpRR1BXM1lWMW00azAtanE5Uml3?oc=5,마일드경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,샘 올트먼 방한 연기…삼성·네이버·카카오 회동 순연,https://news.google.com/rss/articles/CBMibEFVX3lxTE1fS1lxSDJZa2tWTjhzeVpOblRWX1pxdnJ4dHdMT1R3SlNhVFAzOV9hQ1RUOXZManVYXzJOV1BOT1F6a0pnVEdXOTNfc0x6dktGQ1hnNjhBZkVUd3E3ZGx1NmZsRHFiUkFBVGhMaNIBcEFVX3lxTE85aTdMVE5hQzBPWDlGT2ttRkF5Nmg2RDFIVWpKekRZY09WXzNjRzh4eEctOUh1WlVPTTgxQlRUQjBDajh1aEpHYXUycGlMLXZ5U08yMUNYaVpZT1FnOWFBTE1TdHhQSHljWGp5cXVoYlo?oc=5,글로벌경제신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[현장] 카카오게임즈, ‘우마무스메’ 유저와 함께 한 4주년 축제",https://news.google.com/rss/articles/CBMiakFVX3lxTE41X3NfM1ZNX2JqOFRELXBPTFFjbnB0THBZNlItTTVHbndCZHBjMThnUzJ2Nnh5TmZJT25fZGhGQmJkbkotd1lwZ1ZObUg5aFU4cllGQWlMYkZ3YnBma2tLVWJNbnozbkYzR2c?oc=5,게임뷰,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,티빙 개인정보 탈탈 털렸는데...카카오·네이버 연동 회원들 괜찮나요?,https://news.google.com/rss/articles/CBMic0FVX3lxTE9Pc20yVEgzTmRoQVUzQzF5OGVRLTJGMEplNHFjWFkxblg4VkY1X0p6ZU5EbGtaM1dkRFZqWTFrQWZEZjd4TU9ta1pfNTU0S3JYT0FkT0dMMFpuamFlSkNqeHhEem10eGF5RVZ4bGMyVVhSM1XSAXNBVV95cUxPT3NtMlRIM05kaEFVM0MxeThlUS0yRjBKZTRxY1hZMW5YOFZGNV9KemVORGxrWjNXZERWalkxa0FmRGY3eE1PbWtaXzU1NEtyWE9BZE9HTDBabmphZUpDanh4RHptdHhheUVWeGxjMlVYUjNV?oc=5,뉴스워커,2026-06-13,티빙 개인정보 탈탈 털렸는데...카카오·네이버 연동 회원들 괜찮나요?,http://www.newsworker.co.kr/news/articleViewAmp.html?idxno=431097,index_same_title_hash,,,1.0,,,,,,,,,,
카카오,[현장] 카카오게임즈 ‘우마무스메’ 4주년 행사서 만나는 굿즈,https://news.google.com/rss/articles/CBMiakFVX3lxTE5hQWF6ZUhqcHJ0eHdDMkU0V2JqLXNkRWhYUHJ6MDlqdE5hb19UeXN6N2E5SzU1Nk5haU5JOEpqWlZBR0hUMm9LdVRQaV9TZjd3eHE3V19KWFBIZnl6SjZ2Q0QxOF9SMlFSSXc?oc=5,게임뷰,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,최근 5거래일 카카오 주가 41500원 강세 마감,https://news.google.com/rss/articles/CBMickFVX3lxTE1iZ2JVRWlWZ2xJWDRZT2NTdER4ZmxRNGJPdWU3eFQ4OTg4Mk9Tb2Z5UkJLUmZJR1BpbFlnQ2h5MHhtbHZwZy1SbWFjam9HWjNNYVUxR1VCVW5hNHc4SUs2Z3NTTW1raHozNGFQZ01EZ21XUQ?oc=5,TopStarNews,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
