id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v32_weak_non_digital_gov,v27_event_key,v26가드레일사유
1833,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드-지멘스, 제조업 AI 전환 맞손",네이버클라우드 지멘스 제조업 ai 전환 맞손,이데일리,이데일리,"Wed, 24 Jun 2026 00:32:24 GMT","네이버클라우드-지멘스, 제조업 AI 전환 맞손 이데일리",https://news.google.com/rss/articles/CBMigAFBVV95cUxNbFFWcE1kTEs4QTMtTUFUS2gyYXRucjFOT1hIcjJJSGhPYzk4a3k5cFVlb2c0OEN0bHhLZkd6WHhwempVYWs2RFJrS0pPTWFiUUZuc0Z3OW8yaE9ReEN6X09LNmZXZm5Lekw5bldjLU5kYW9PTTRZY0JLbGgtVTN5bA?oc=5,google_rss_네이버 when:2d,206.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,206.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 지멘스 제조업 ai 전환 맞손,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 지멘스 제조업 ai 전환 맞손,comp_domestic_ai_platform,,,,
2430,경쟁사/해외이슈,경쟁사_해외이슈,구글,"엔비디아, 로컬 AI 위한 구글 딥마인드 디퓨전젬마 가속화 > 뉴스",엔비디아 로컬 ai 위한 구글 딥마인드 디퓨전젬마 가속화 뉴스,브레인박스,브레인박스,"Tue, 23 Jun 2026 19:37:22 GMT","엔비디아, 로컬 AI 위한 구글 딥마인드 디퓨전젬마 가속화 > 뉴스 브레인박스",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQbVBXT1JwMm13ZldQNGUwRklQejBlRmZtZUhxZnNSZ2QyT2xCNGZwVzNPd3BkUW9jZXl3MUFvVFBpSmp3ekVtVlZxM3NPVC1WRGpBWU1mWG01aGl5azhGUmFmalRDZ0JQWU9BNll2elFGcmFfUk02UHJRZVA2Tk1MbDRtRlRrRmNM?oc=5,google_rss_구글 when:2d,206.5,13.5,ai_infrastructure_security,ai_infrastructure_security,구글,,,,,,,general,24.0,published_today,business_change,event:구글:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,206.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_overseas_regulation_data,comp_overseas_regulation_data:엔비디아 로컬 ai 위한 구글 딥마인드 디퓨전젬마 가속화 뉴스,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_overseas_regulation_data:엔비디아 로컬 ai 위한 구글 딥마인드 디퓨전젬마 가속화 뉴스,comp_overseas_regulation_data,,,,
2605,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"OpenAI와 Anthropic의 IPO 전 무기한 선물 거래가 코인베이스 마켓에서 시작됐으며, 톰 리는 AI IPO 시장의 충격 가능성을 경고했다.",openai와 anthropic의 ipo 전 무기한 선물 거래가 코인베이스 마켓에서 시작됐으며 톰 리는 ai ipo 시장의 충격 가능성을 경고했다,Brave New Coin,Brave New Coin,"Mon, 22 Jun 2026 19:28:09 GMT","OpenAI와 Anthropic의 IPO 전 무기한 선물 거래가 코인베이스 마켓에서 시작됐으며, 톰 리는 AI IPO 시장의 충격 가능성을 경고했다. Brave New Coin",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQeTdzdGc3QW5tWklGVnZmalhMYVNyLTlsWnphMWtBSG9aMEYyWE83dU5ic1FsSW5CRjItUEZWOWVZcFJpYWVtVTJIR2NMalZMQ2tReHhxX2RGdFp4NHJLTTdEVVFpQk93TXVzX2hteHNhY2JfcU9Lb1FhLV82UUt2RHZPV1hWcTBndm9ydVFrQldNNGlNOGQ5NVVqZURBSDl5N3FLUzVtd2s3YWkwLTJWYk9TNzQ3Q0pwOFFwTDRyVEhiNFhVZnFZdTM4WW5MZXZDNTlOcS12eWhUbUls?oc=5,google_rss_오픈AI 스테이블코인 when:2d,206.0,30.5,"ai_infrastructure_security,digital_asset_stablecoin,strategy_mna_governance",ai_infrastructure_security,"앤트로픽,오픈AI",,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:mna_capital:openai:mna_capital,general,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,global_platform_or_overseas_rule,Y,global,206.0,"strategy_mna_governance,ai_infrastructure_security,digital_asset_stablecoin",competitor:strategy_mna,global_incident:mna_capital:openai:mna_capital:general,global_incident:mna_capital:openai:mna_capital,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:mna_capital:openai:mna_capital,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:mna_capital:openai:mna_capital,comp_overseas_platform_ai,,,,
1954,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"""한성숙, 네이버 때도 중기부 때도""…野 '보안 불감증' 공세",한성숙 네이버 때도 중기부 때도 보안 불감증 공세,뉴스1,뉴스1,"Tue, 23 Jun 2026 01:04:39 GMT","""한성숙, 네이버 때도 중기부 때도""…野 '보안 불감증' 공세 뉴스1",https://news.google.com/rss/articles/CBMiX0FVX3lxTE1ZekRyOEQ4dG9COGp3SzlBSFhkRlB0aEhvay0weFh3dEhaVGNuOU9pdC1jS0tqeV9HaTZSTldFeDFUTXUxQ1Jfc09seHNBUWFUdUNnUVhEWkFOOFlaQnFB?oc=5,google_rss_네이버 해킹 when:2d,206.0,20.5,"phishing_security,privacy_security_reliability",security_general,네이버,,,,,,,general,14.0,published_yesterday,direct_risk,event:네이버:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,206.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:한성숙 네이버 때도 중기부 때도 보안 불감증 공세,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:한성숙 네이버 때도 중기부 때도 보안 불감증 공세,comp_domestic_strategy,,,,
3080,경쟁사/해외이슈,경쟁사_해외이슈,중국 AI,"중국, 약 453조원 ‘국가 AI 인프라 계획’ 추진… 칩 80% 국산화로 엔비디아 배제",중국 약 453조원 국가 ai 인프라 계획 추진 칩 80 국산화로 엔비디아 배제,AI 매터스,AI 매터스,"Wed, 24 Jun 2026 01:36:43 GMT","중국, 약 453조원 ‘국가 AI 인프라 계획’ 추진… 칩 80% 국산화로 엔비디아 배제 AI 매터스",https://news.google.com/rss/articles/CBMiVEFVX3lxTE44TGN4cGNJSFhxa29ZWWFxR29Xd2RaRzBxRHg0YmZKbkxRczBxNWVtQlQzeVZwNzBiNDF2Ulk3QWJENXlJMklnMmE3emQ4U2h5WjZPMw?oc=5,google_rss_중국 AI when:2d,206.0,11.0,ai_infrastructure_security,ai_infrastructure_security,,,,,,,,general,24.0,published_today,business_change,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,global_platform_or_overseas_rule,Y,global,206.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_overseas_platform_ai,,,,
2561,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"""해킹 경고 넘어 치료까지"" 오픈AI, 알아서 고치는 '보안 AI' 공개 - 머니투데이",해킹 경고 넘어 치료까지 오픈ai 알아서 고치는 보안 ai 공개,머니투데이,머니투데이,"Tue, 23 Jun 2026 00:41:04 GMT","""해킹 경고 넘어 치료까지"" 오픈AI, 알아서 고치는 '보안 AI' 공개 - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMibEFVX3lxTE9uODRSYzVNWmpPTElJSzRQVkFhT1pRNTFZazFXUVNPWDFlU0p1dUswZzhUamZmQ3VselNtaDF1eWtSeWJRVl9oQktnTWtCWmRUWmZ0ZXhIWXItenVTZGYyczZoTENXQnlKRHk1b9IBbEFVX3lxTE9uODRSYzVNWmpPTElJSzRQVkFhT1pRNTFZazFXUVNPWDFlU0p1dUswZzhUamZmQ3VselNtaDF1eWtSeWJRVl9oQktnTWtCWmRUWmZ0ZXhIWXItenVTZGYyczZoTENXQnlKRHk1bw?oc=5,google_rss_오픈AI when:2d,205.5,45.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_hacking_incident,오픈AI,,,,,,,general,14.0,published_yesterday,direct_risk,privacy_security:openai:data_leak,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,global_platform_or_overseas_rule,Y,global,205.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:openai:openai_security_access:announcement,global_incident:ai_security_policy:openai:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:openai:openai_security_access,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:openai:openai_security_access,comp_overseas_platform_ai,,,,
1801,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"저작권 걱정 없이 웹툰을 숏폼 애니로…네이버웹툰, '컷츠메이크' 출시",저작권 걱정 없이 웹툰을 숏폼 애니로 네이버웹툰 컷츠메이크 출시,지디넷코리아,지디넷코리아,"Wed, 24 Jun 2026 01:32:07 GMT","저작권 걱정 없이 웹툰을 숏폼 애니로…네이버웹툰, '컷츠메이크' 출시 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTE9VRkZEVlVMcm5wemgzbEVFMVRxbVhXdEF6Si1xa0pyT09nbWJqaVluLW1oOHlXZ2paemV3V1R2clM3azlzNXBER21qRWRsSzNFR3N2TjJ3?oc=5,google_rss_네이버 when:2d,205.5,13.5,copyright_ai,copyright_ai,네이버,,,,,,,general,24.0,published_today,general,event:네이버:copyright_ai,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,205.5,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:저작권 걱정 없이 웹툰을 숏폼 애니로 네이버웹툰 컷츠메이크 출시,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:저작권 걱정 없이 웹툰을 숏폼 애니로 네이버웹툰 컷츠메이크 출시,comp_domestic_strategy,,,,
1879,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드-지멘스, AI·산업자동화 분야 협력…""제조현장 혁신"" - 머니투데이",네이버클라우드 지멘스 ai 산업자동화 분야 협력 제조현장 혁신,머니투데이,머니투데이,"Wed, 24 Jun 2026 00:57:51 GMT","네이버클라우드-지멘스, AI·산업자동화 분야 협력…""제조현장 혁신"" - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMibEFVX3lxTFBIbDFrVVJsVHRQWmpvbGNtcEVzTHljZmlCZTRXcUFycWtBeERfVjV5MjNfcTBsekJCOXZZNGp0YXdDMkRoZUg1WHA2bjVkbEpqTmg4THFwNC00dzFuOWJLQXV2alBBaF8wY1FaNtIBbEFVX3lxTFBIbDFrVVJsVHRQWmpvbGNtcEVzTHljZmlCZTRXcUFycWtBeERfVjV5MjNfcTBsekJCOXZZNGp0YXdDMkRoZUg1WHA2bjVkbEpqTmg4THFwNC00dzFuOWJLQXV2alBBaF8wY1FaNg?oc=5,"google_rss_""네이버"" when:2d",205.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,205.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 지멘스 ai 산업자동화 분야 협력 제조현장 혁신,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 지멘스 ai 산업자동화 분야 협력 제조현장 혁신,comp_domestic_ai_platform,,,,
1798,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드·지멘스, 제조 AI 전환 맞손",네이버클라우드 지멘스 제조 ai 전환 맞손,아이뉴스24,아이뉴스24,"Wed, 24 Jun 2026 01:22:57 GMT","네이버클라우드·지멘스, 제조 AI 전환 맞손 아이뉴스24",https://news.google.com/rss/articles/CBMiTEFVX3lxTFBkSkptd1dhc25oQzhkVFdsLVdSSERJNWxqa2x0YTcydXBZYzFmYUlfdlNLMGU5bkhNbGFHVkx3QXhVREZJMTF5MnRjZUE?oc=5,google_rss_네이버 when:2d,204.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,204.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 지멘스 제조 ai 전환 맞손,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 지멘스 제조 ai 전환 맞손,comp_domestic_ai_platform,,,,
1881,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드-지멘스, AI·산업 자동화 분야 협력…""제조 혁신 가속""",네이버클라우드 지멘스 ai 산업 자동화 분야 협력 제조 혁신 가속,아시아경제,아시아경제,"Wed, 24 Jun 2026 00:39:52 GMT","네이버클라우드-지멘스, AI·산업 자동화 분야 협력…""제조 혁신 가속"" 아시아경제",https://news.google.com/rss/articles/CBMidEFVX3lxTE5lSHlIby1pdDU1NGptYUNWY1I5Mmwxa0FJbVY4QzBkUTV4M0hrMW5CTVo4TnpKWkxUakNLOUhfai1taWdPdk95WFRPQUFOWUpXU0FvVW83bzBuZGZQYXVLb2dUQ0l4dTg4UGJYRWZJRU9DQkQw?oc=5,"google_rss_""네이버"" when:2d",204.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,204.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 지멘스 ai 산업 자동화 분야 협력 제조 혁신 가속,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 지멘스 ai 산업 자동화 분야 협력 제조 혁신 가속,comp_domestic_ai_platform,,,,
2006,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[AI픽] 네이버클라우드·지멘스, 제조 현장에 AI 심는다",네이버클라우드 지멘스 제조 현장에 ai 심는다,매일경제 마켓,매일경제 마켓,"Wed, 24 Jun 2026 00:31:54 GMT","[AI픽] 네이버클라우드·지멘스, 제조 현장에 AI 심는다 매일경제 마켓",https://news.google.com/rss/articles/CBMiUkFVX3lxTFBJMnVyeXJLVjNOTU13dFJTZFdLajdIWTBuM0Q2ZW9rY0laSUNUNEx6YkNUVW9zUHo3ZDRjNnljUWQwTEhpS3RjdlFwUWVHaWRLUlE?oc=5,google_rss_네이버 site:mk.co.kr when:2d,204.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,204.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 지멘스 제조 현장에 ai 심는다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 지멘스 제조 현장에 ai 심는다,comp_domestic_ai_platform,,,,
2967,경쟁사/해외이슈,경쟁사_해외이슈,트럼프 행정부,"""안보가 아닌 복종 요구""…트럼프 vs. 앤트로픽의 AI 주도권 전쟁",안보가 아닌 복종 요구 트럼프 vs 앤트로픽의 ai 주도권 전쟁,itworld.co.kr,itworld.co.kr,"Wed, 24 Jun 2026 02:44:00 GMT","""안보가 아닌 복종 요구""…트럼프 vs. 앤트로픽의 AI 주도권 전쟁 itworld.co.kr",https://news.google.com/rss/articles/CBMizgJBVV95cUxPUllvQXR0NDZNTjZfVjFDbFFTSzNlcXB2UnpsaEhpOWlaaTZTNWVPTFhNdWN1RmhHcDQ1Nk4wM2FVdGZXb2g1YVgzZTV1d3BlT1Y2cGZ5QlUyUjR3VzU2NDhPMUZ2cWVSUlcxa0ZEdTdHYnM3X3M5LVRyTWNJZTNUUjNJbDZpRTRSMm9jOHlwS0VMMmU4MFNIaDh4YVpKR3hWMzlQTGRJeEw3cklMb3o0V2J3d1Y4M01PT3ZGSV9RaGQ1V3BMVmg1RFl2MHFETkZDNUhzRndvQVBTZmpicHVWLXNxS2tDUk5vY3N1OWVUck5tQjVnOXN4VEZLX3lHVmN0OUFmX0NkMkhBNlQwb3lDb0k0LWQ2ZWZhM3FLSzlaQlU4YTZwNnBvb3RzSnJXaUd6V0l6LWNSUFpYelRhWnlSU1FqbXkxaVhIOHktb1hn?oc=5,google_rss_트럼프 행정부 when:2d,204.0,11.0,ai_infrastructure_security,ai_infrastructure_security,앤트로픽,,,,,,,general,24.0,published_today,business_change,global_incident:ai_security_policy:sector:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,204.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:sector:anthropic_glasswing_security:general,global_incident:ai_security_policy:sector:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:sector:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:sector:anthropic_glasswing_security,comp_overseas_platform_ai,,,,
2598,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"구글 대표 AI인재들 잇따라 오픈AI, 앤트로픽으로",구글 대표 ai인재들 잇따라 오픈ai 앤트로픽으로,biz.sbs.co.kr.,biz.sbs.co.kr.,"Tue, 23 Jun 2026 00:57:00 GMT","구글 대표 AI인재들 잇따라 오픈AI, 앤트로픽으로 biz.sbs.co.kr.",https://news.google.com/rss/articles/CBMiWEFVX3lxTE84TXo3X19WSXp1U1ZFdFVKQ1RaRXNzU3prTFdJaDM5VjVzQXN2MHNVR05lZHAzaG5KODh1cnhOSTBiSWthUGRVcEtNdkQ3TE1JXzRpV1VGdzQ?oc=5,google_rss_오픈AI 법안 when:2d,203.5,16.0,ai_infrastructure_security,ai_infrastructure_security,"구글,앤트로픽,오픈AI",,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:ai_security_policy:google:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,global_platform_or_overseas_rule,Y,global,203.5,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:google:anthropic_glasswing_security:general,global_incident:ai_security_policy:google:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_overseas_platform_ai,global_incident:ai_security_policy:google:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_PLATFORM_AI,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:google:anthropic_glasswing_security,comp_overseas_platform_ai,,,,
2630,경쟁사/해외이슈,경쟁사_해외이슈,MS,"[AI 인프라 전쟁] 쉐브론, MS 데이터센터에 천연가스로 전력 공급",ai 인프라 전쟁 쉐브론 ms 데이터센터에 천연가스로 전력 공급,v.daum.net,v.daum.net,"Tue, 23 Jun 2026 08:24:45 GMT","[AI 인프라 전쟁] 쉐브론, MS 데이터센터에 천연가스로 전력 공급 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE0wWjJpbjVacHlqc2tQYTNpaGRHMldQdjU4ZWE4LS1rVlJvMzhJbXotdGtrRTgyZk1QRWtRY1Z4clFUMTFQTEF2cE10ZUxZQ3M?oc=5,google_rss_MS when:2d,202.5,14.0,ai_infrastructure_security,ai_infrastructure_security,,,,,,,,general,14.0,published_yesterday,business_change,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,global_platform_or_overseas_rule,Y,global,202.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,4,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_OVERSEAS_REGULATION_DATA,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,self_filler_reference,,,,
2780,경쟁사/해외이슈,경쟁사_해외이슈,애플,"인도 타타일렉트로닉스, 해킹 공격으로 내부 데이터 유출... 위탁 생산 애플 제품 정보 유출 가능성",인도 타타일렉트로닉스 해킹 공격으로 내부 데이터 유출 위탁 생산 애플 제품 정보 유출 가능성,보안뉴스,보안뉴스,"Wed, 24 Jun 2026 01:38:00 GMT","인도 타타일렉트로닉스, 해킹 공격으로 내부 데이터 유출... 위탁 생산 애플 제품 정보 유출 가능성 보안뉴스",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1HUDlpMDgwdDd0aXVJTmx1dWxFcWFwNjBxOXFuTHkzNktuLU8xd1lDRUYyNVZZSEoybzhkVmo1LXZTNkxYRTNSeHp2N0hHUkphMGRLX2VwV0V3b2dpRlR5VW1uUk41R3Jn?oc=5,google_rss_애플 when:2d,202.0,39.0,"phishing_security,privacy_security_reliability",security_hacking_incident,애플,,,,,,,general,24.0,published_today,direct_risk,privacy_security:apple:data_leak,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,global_platform_or_overseas_rule,Y,global,202.0,privacy_security_reliability,competitor:security_reliability,global_incident:privacy_security:apple:apple:data_leak:general,global_incident:privacy_security:apple:apple,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_overseas_regulation_data,global_incident:privacy_security:apple:apple,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,3,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:privacy_security:apple:apple,comp_overseas_regulation_data,,,,
